22306768
/m/05t0j34
/m/05t0j34
Siobhan Dowd
2007
1132 1
6 1
a 24
afraid 1
age 1
agrees 1
allowing 1
also 1
although 1
an 1
and 20
angry 1
any 2
anyway 1
appears 1
approaches 1
are 2
arrive 2
arrived 1
as 7
ascends 1
asperger 3
at 6
attend 1
aunt 3
avoided 1
avoids 1
background 1
barracks 3
be 1
because 1
been 1
before 1
begins 1
being 1
bemoaning 1
body 1
bought 1
boy 3
brother 2
building 2
buildings 1
but 4
by 2
call 1
calls 1
camera 1
cannot 2
capsule 6
captivated 1
case 1
chemist 1
claiming 1
claustrophobic 1
climbs 1
clue 1
clues 2
coat 1
collect 1
company 2
condition 1
confesses 1
confirmed 1
connection 1
convincing 1
could 1
cousins 1
currently 1
day 5
dead 1
decide 3
deduces 1
demolished 1
demolition 1
denying 1
description 1
developed 3
disappearance 1
dowd 1
dressed 2
ecur 1
end 1
entered 1
escape 1
especially 1
euston 1
evening 1
eventually 2
examine 2
exhibition 2
extremely 1
eye 9
fact 1
family 2
fascination 3
father 2
female 1
figures 1
find 4
fly 1
focus 1
follows 1
for 6
forward 1
found 1
friend 1
from 2
frontline 1
gain 1
gave 1
getting 1
girl 2
give 2
gloria 3
goes 1
going 1
gone 1
had 2
half 1
halfindian 1
has 5
have 5
he 6
helping 1
her 2
hidden 1
him 2
himself 1
his 5
hold 1
home 3
hospital 1
hour 1
hourlong 1
how 2
however 1
if 1
in 9
intense 1
interests 1
into 1
involving 1
is 10
it 6
jacket 1
journey 1
kat 6
knew 1
know 2
lands 1
large 2
last 1
later 1
leave 1
left 2
letters 1
line 1
lined 1
local 1
london 5
loves 1
man 1
managed 1
many 1
marcus 7
missed 1
months 1
morgue 1
mother 2
motorbike 1
mystery 1
never 2
new 1
newly 1
next 3
no 1
not 3
noticed 1
now 1
of 9
off 1
old 3
older 2
on 6
once 1
one 4
only 1
ontli 1
or 1
others 1
out 7
outfits 1
people 1
phone 1
photo 1
photograph 1
photographs 4
pictures 1
plan 1
pod 1
police 3
pose 1
pretended 1
pretending 1
questions 1
queues 1
receives 1
reports 1
ride 4
roughly 1
salim 27
same 3
saw 1
saying 2
says 2
security 2
see 2
seems 1
separated 1
she 1
showed 1
siblings 1
similar 1
simply 1
siobhan 1
sister 1
sleeve 1
small 1
sold 1
some 1
son 1
soon 3
souvenir 2
spaces 1
spent 1
start 1
station 1
story 1
stranger 4
street 1
structures 1
such 1
swapped 1
syndrome 3
take 2
ted 14
teenage 1
than 1
that 13
the 57
their 2
them 3
then 4
there 2
they 9
ticket 6
tickets 1
time 1
to 23
together 1
travels 1
try 1
tshirt 1
two 2
uncover 1
underground 1
up 2
using 1
visit 1
visits 1
was 6
waving 1
way 1
wearing 1
weather 1
when 5
where 1
whether 1
which 4
while 1
who 9
with 12
within 1
without 1
work 2
worked 1
works 2
would 1
writing 2
year 1
york 1
