3286926
/m/093fpc
/m/093fpc
Ann Radcliffe
1826
{"/m/039vk": "Gothic fiction", "/m/014dfn": "Speculative fiction", "/m/0hwxm": "Historical novel"}
13th 1
a 2
abbot 1
an 1
and 1
around 1
been 1
by 4
centers 1
century 1
character 1
claims 2
complicated 1
court 1
determine 1
england 1
expose 1
forced 1
further 1
gaston 2
ghosts 1
have 1
henry 2
his 1
hold 1
iii 1
in 2
interrupted 1
is 3
king 1
kinsman 1
machinations 1
merchant 1
murdered 1
novel 1
of 4
plot 1
set 1
suppress 1
that 1
the 11
title 1
to 5
trial 1
tries 1
truth 2
validity 1
want 1
wedding 2
who 3
wronged 1
