23974892
/m/076tzhy
/m/076tzhy

2006-01-31
{"/m/06n90": "Science Fiction"}
a 6
against 2
alien 2
almost 1
also 2
an 1
and 2
antianna 5
archer 2
as 2
assembled 1
battle 1
be 1
blocked 1
but 1
by 3
can 2
captain 1
come 1
confederacy 2
course 1
crew 1
dealings 1
decipher 1
devastating 1
eliminate 1
ensign 1
enterprise 2
entire 1
fact 1
facts 1
find 2
for 1
forced 1
forward 1
from 1
give 1
governor 1
had 1
has 1
have 1
he 3
heart 1
him 2
hoshi 1
hostile 1
if 2
immediately 1
in 3
is 3
its 1
jonathan 1
just 2
know 1
language 1
leader 1
maxim 1
may 1
middle 1
more 1
motives 1
mysterious 1
needs 2
not 1
of 4
one 1
only 1
organising 1
other 1
peace 1
piloted 1
planned 1
pose 1
possible 1
posture 1
race 1
races 1
reason 1
result 1
risk 1
routes 1
ruled 1
sato 1
sector 1
sectorwide 1
seemingly 1
sen 2
she 1
ship 1
soon 2
space 1
starship 1
suspects 2
suspicions 1
than 1
that 1
the 15
their 1
thelasian 2
them 1
themselves 1
there 1
they 3
threat 1
to 7
trading 2
translate 1
transmissions 1
unable 1
unwilling 1
veer 1
vessel 1
war 3
way 1
well 1
who 1
will 2
with 2
woman 1
