9649205
/m/02pn2rp
/m/02pn2rp
Lee Child
1999-06-28
30 2
a 34
abandoned 1
able 1
about 2
actually 1
address 1
after 3
again 1
all 1
allen 8
alley 1
almost 1
already 1
also 1
although 1
among 1
an 1
and 32
anyone 2
are 2
arrest 1
arrives 2
as 4
assets 1
at 1
attacked 1
attorney 1
banks 1
be 1
because 1
been 3
before 2
begin 1
begins 3
being 1
between 1
billion 1
blackmailing 1
boardroom 1
book 1
bouncer 1
bullet 2
buried 1
business 1
but 3
by 5
call 1
called 2
calls 1
came 2
cant 1
careful 2
carl 1
case 1
cash 1
central 1
charade 1
chest 1
chester 2
client 1
clients 1
climax 1
close 1
closer 1
club 1
come 1
commanding 1
companies 1
company 2
concentric 1
confrontation 1
confronts 1
contact 1
corporate 2
costello 9
could 1
coworker 1
crew 1
cut 1
dark 1
daughter 1
day 1
dead 2
default 1
denies 1
detective 1
didnt 1
discover 1
divorced 1
doctor 1
does 1
dollar 1
done 1
down 2
drafted 1
drives 1
due 1
each 1
early 2
earlywarning 1
elderly 1
eleven 1
encounter 1
end 1
ends 2
escape 1
ever 1
everything 1
exercise 1
expertly 1
explaining 1
explains 1
facility 1
family 1
father 1
feel 1
feelings 1
female 1
fight 1
financial 1
financially 1
find 4
finding 1
fingertips 1
first 2
flight 1
floridian 1
follow 1
for 13
forensic 1
forest 1
fortune 1
found 1
fragging 1
friend 1
from 6
funeral 2
garber 1
garberjacob 1
gathered 1
get 2
gets 2
getting 1
goes 2
good 1
got 1
gun 1
had 3
hand 1
handles 1
has 5
have 1
having 1
hawaii 1
he 15
held 1
helicopter 3
her 2
hide 1
highend 1
him 5
his 15
hitmen 1
hobie 9
hobies 2
home 2
hook 3
house 2
how 3
however 2
hudson 1
identification 1
identity 1
if 1
in 12
information 2
investigation 2
investigator 1
is 13
it 3
jack 2
jacob 3
jacobs 1
job 1
jodie 6
keep 1
key 1
kidnaps 1
killed 3
killing 1
knowing 1
knows 2
laboratory 1
labour 1
last 1
lastresort 1
later 1
leading 1
leads 1
leave 1
leaves 1
lender 2
leon 2
lies 2
life 1
liquidate 1
living 1
loan 1
locations 1
long 1
looking 4
loose 1
lost 1
made 1
main 1
man 1
manages 3
marilyn 2
men 4
mentor 1
method 1
miami 1
miles 2
military 2
missinginaction 1
moneylender 1
more 1
mrs 4
much 2
muscle 1
mysterious 1
name 2
named 3
nearer 1
new 4
night 1
nobody 1
not 2
nothing 1
number 1
occasions 1
of 11
off 1
office 3
officer 1
old 1
on 7
once 1
one 3
only 1
or 2
orders 1
other 1
out 6
over 2
owner 1
parents 2
particular 1
pectoral 1
physical 1
pilot 1
piloting 1
planned 2
planning 1
plotting 1
porsche 1
private 1
process 1
project 1
prologue 1
protect 1
quickly 1
reacher 25
reachers 1
reaction 1
real 1
realize 1
realizes 1
really 1
reason 1
rejected 1
remains 1
response 2
revealed 1
ribcage 1
ride 1
river 1
roads 1
romantic 1
route 1
run 3
safe 1
same 2
says 1
search 1
searched 1
second 2
secret 1
sent 2
setting 1
several 1
shares 1
shark 1
short 1
shot 1
should 1
side 1
sign 1
since 1
six 1
skilled 1
so 1
soldier 2
soldiers 1
sometimes 1
son 1
special 1
speed 1
stage 3
stages 1
stole 1
stone 1
stopping 1
story 4
street 1
strip 1
successful 1
sustains 1
suv 1
sweated 1
system 1
take 1
takeover 1
takes 1
telling 1
tells 1
terrorizing 1
that 12
the 48
their 2
them 6
then 6
these 1
they 2
thick 1
this 2
though 1
thought 1
thousand 2
threat 2
through 1
tie 1
to 27
together 1
torture 1
torturing 1
transfer 1
triggered 1
tripwire 5
tripwires 2
truth 1
trying 1
turns 1
two 8
uncover 1
under 1
up 4
upstate 1
victor 2
vietnam 1
visited 1
visiting 1
war 2
warning 2
was 14
wealthy 1
went 1
were 1
westthe 1
when 4
where 1
whether 1
which 2
who 7
why 1
wife 1
willed 1
winding 1
with 8
working 2
wound 1
years 2
york 3
