153476
/m/0140ll
/m/0140ll
Anne Rice
1995-07-03
{"/m/039vk": "Gothic fiction", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 9
account 1
adversary 1
after 2
agenda 1
along 1
also 2
although 1
among 1
an 2
and 13
approached 1
are 2
armand 3
as 1
asks 1
at 2
basement 1
become 1
been 1
being 1
believe 1
believes 2
better 1
biblical 1
body 1
but 2
by 5
calls 1
care 1
cast 1
chain 1
christ 1
christians 1
chronicles 1
claims 2
complete 1
confusion 1
consists 1
control 1
convent 1
convince 2
cosmology 1
create 1
crucifixion 1
damned 1
daughter 1
david 3
decide 1
deeply 1
devil 3
devout 1
dora 4
earth 1
effort 1
elizabeth 1
embarrassment 1
end 1
enthrallingly 1
entirety 1
evangelist 1
eventually 1
evil 1
eye 2
fit 1
fits 1
follows 1
for 1
force 1
forced 1
from 3
ghost 2
given 1
go 1
god 3
goes 1
had 1
has 5
have 3
he 10
heaven 3
hell 3
him 5
himself 5
his 6
history 3
hurt 1
immolates 1
in 9
increasingly 1
into 3
is 5
it 4
join 1
joined 1
journey 1
killing 1
left 1
lestat 11
loses 1
lost 2
lot 1
made 1
maharet 2
major 1
majority 1
manipulating 1
may 1
meets 1
memnoch 5
merely 1
miracle 1
mobster 1
most 1
moved 1
movement 1
neatly 1
new 2
not 3
note 1
novel 3
occurred 1
of 16
on 3
or 2
order 1
orleans 1
other 1
others 1
own 2
owned 1
paranoid 1
passionate 1
people 1
point 1
popular 1
powerful 1
queen 1
received 1
reinterprets 1
religious 1
retells 1
returns 1
reveals 2
revelation 1
roger 3
ruthless 1
saint 1
same 1
seeing 1
seen 1
serve 1
so 1
souls 1
spare 1
st 1
stalked 1
stalking 1
stories 1
story 1
storyline 1
sunlight 1
take 1
takes 2
talbot 2
tale 1
television 1
tells 1
terms 1
than 1
that 8
the 24
then 1
theology 1
there 1
thief 1
things 1
time 1
to 15
tour 2
triggering 1
unable 1
up 1
upon 1
ushering 1
vampire 1
vampires 2
vast 1
veil 2
veronica 1
view 1
wants 1
whether 1
which 1
whirlwind 1
who 2
whom 1
will 1
with 3
working 1
world 1
york 1
