33351584
/m/0h7mlvh
/m/0h7mlvh
Rudy Rucker

17yearold 1
4 1
a 20
able 1
about 2
access 1
accessing 1
adapting 1
addiction 1
advance 1
advanced 2
advances 1
after 2
again 1
against 2
agree 1
all 1
allow 2
allows 1
also 1
an 3
and 26
angry 1
announces 1
antenna 1
antinantorphid 1
any 1
ar 2
are 7
argues 1
arrested 1
as 11
at 1
augmented 1
autistic 1
back 1
barely 1
bay 1
be 2
beach 1
become 1
becomes 3
begin 1
begins 1
between 1
big 1
blows 1
boat 1
both 1
bottle 1
boys 1
builds 1
but 2
buys 1
by 8
care 1
carlos 3
ceo 1
chinese 1
chu 6
city 1
classified 1
clear 1
coast 1
comes 1
company 2
computing 1
connected 1
conspiracy 1
contact 1
converted 1
cook 1
craigor 1
create 2
creation 1
day 2
death 1
department 1
depend 1
destruction 1
dibbs 2
dick 1
dimension 1
discover 1
displays 1
distraught 1
divided 1
do 1
dog 1
dream 1
dumpsterdiving 1
earth 5
eaten 1
employees 1
engineer 1
establishing 1
events 2
eventually 1
everything 1
exaexa 1
executed 1
existence 2
eye 1
families 1
family 1
far 1
fast 1
fear 1
first 2
flying 1
focuses 1
for 10
forwards 1
four 1
francisco 6
friend 1
from 2
fugitive 1
furthermore 1
future 1
gathering 1
gladax 2
glass 1
glean 1
goes 1
going 1
government 2
group 1
growing 1
grown 1
had 1
hard 1
has 3
have 2
he 1
heavily 1
hibrane 3
hiding 1
higherintelligence 1
him 2
his 4
holdouts 1
homeless 1
hours 1
house 2
however 7
immediately 1
in 10
industry 1
information 1
inserted 1
inspired 1
interested 1
internet 2
intimate 1
into 6
is 17
it 2
its 1
jar 1
jayjay 1
jeff 3
jumping 1
jumps 1
keep 1
killing 1
kiqqies 1
kitty 1
known 3
labs 1
larger 1
last 1
later 2
launch 1
leading 2
leaves 1
leaving 1
lenses 1
light 1
lit 1
little 1
living 1
lobrane 1
lobraners 1
long 1
lug 1
lutter 3
lutuc 1
luty 2
lynch 1
meaning 1
means 1
merz 1
microphones 1
mind 1
minds 1
mirrors 1
misfires 1
mob 2
moon 1
most 2
mostly 1
nanorobot 1
nanorobotics 1
nanorobots 1
nanotechnology 2
nantel 2
nants 10
nearby 1
need 1
nektar 2
new 2
next 1
night 1
nonconnected 1
not 2
novel 1
now 2
of 31
on 5
ond 14
one 3
open 1
opportunities 1
or 3
order 1
orphid 1
orphidnet 5
orphids 7
other 1
out 3
over 3
part 3
partakers 1
particular 1
partners 1
parts 1
passing 1
penetrate 1
persist 1
physical 1
physicallyseparated 1
pig 2
place 1
police 1
portion 1
possible 1
presented 1
president 1
prior 1
privacy 1
project 1
properties 1
provide 1
pursuit 1
rapidly 2
reality 1
rehired 1
releasing 1
reliant 1
remote 1
remove 1
renamed 1
repeat 1
residents 1
resist 1
restaurant 1
retreat 1
return 1
reversal 1
reversed 1
ridding 1
right 1
rocket 2
rockets 3
role 1
room 1
rulers 1
san 6
satellite 1
savant 1
seeks 1
seen 1
seizes 1
selfreplicate 1
send 1
sensorallyimmersive 1
sent 1
separates 1
several 1
sex 1
shot 1
slower 1
smashes 1
so 2
socalled 1
society 1
somewhat 1
son 1
sonic 1
space 1
spread 1
still 1
stinson 1
story 2
subject 1
such 1
take 2
tech 1
technologies 1
teenage 1
teleconferencing 1
teleporting 1
tells 1
tetepathy 1
that 3
the 76
their 1
they 1
thing 1
this 1
those 1
throat 1
thuy 1
time 1
to 24
treason 1
tries 1
tucay 1
two 2
type 1
ultimately 1
until 2
upon 3
urinated 1
us 1
utilities 1
vearth 2
version 5
virtual 2
wall 1
wanted 2
webeyes 1
west 1
when 2
where 1
which 6
who 5
whose 1
will 1
with 4
within 1
works 1
world 1
year 1
yearold 1
years 2
young 2
