34348361
/m/05qh5_s
/m/05qh5_s
Rosemary Sutcliff
1956
{"/m/014dfn": "Speculative fiction", "/m/0hwxm": "Historical novel"}
130 1
a 17
about 1
accompany 1
adapts 1
advances 1
against 1
age 1
ages 1
aid 1
although 1
ambush 1
an 4
and 19
angloscandinavian 1
annihilating 1
are 2
area 1
around 1
as 9
at 2
attack 1
attempts 1
back 1
band 1
battle 1
be 1
becomes 1
been 2
being 5
beowulf 4
between 2
bjorn 8
bloodline 1
both 1
boy 1
bring 1
british 2
brought 1
but 2
buthar 3
by 8
called 1
camp 2
campaign 1
celtic 1
change 1
characters 1
chronological 1
clearly 1
close 1
closes 1
cockermouth 1
come 1
comes 2
coming 1
concept 1
connections 1
conqueror 1
conquest 1
country 1
crux 1
culture 1
cumbrians 1
death 1
describe 1
developed 1
develops 1
direct 1
discovered 1
dolphin 1
doom 1
down 1
downfall 1
dramatized 1
during 1
each 1
eight 1
emerald 2
enemy 2
epic 2
escape 1
established 1
ethic 1
even 2
events 1
evolution 1
faced 1
facing 1
family 1
feature 1
fells 1
fend 1
final 2
fire 1
firedrake 1
focus 1
forebears 1
form 1
forming 1
fostered 1
fought 1
from 3
frytha 5
gather 1
gift 1
girl 1
given 1
group 2
grows 1
guerilla 1
guise 1
had 3
harp 1
harper 1
hastings 1
have 4
having 1
he 3
her 2
hidden 1
him 2
his 5
historian 1
history 1
host 1
how 1
in 11
indigenous 1
infiltrating 1
information 2
inimitable 1
insignia 1
inspired 1
instrument 1
intermingled 1
into 3
invasion 1
is 11
it 2
its 1
jarl 3
key 1
knight 1
lakeland 6
largest 1
last 2
le 1
leads 1
learns 1
led 1
life 1
lifeanddeath 1
link 1
links 1
long 1
loyalty 2
making 1
man 1
maternal 1
mere 1
meschin 1
mislead 1
much 1
musical 1
narrative 1
needed 1
news 1
nicholas 1
norman 6
normans 2
norse 2
northmen 3
novel 2
novels 1
of 20
off 2
old 1
on 1
one 1
ordeal 1
order 1
original 1
originally 1
orphaned 1
other 1
overrun 1
own 1
paralleling 2
part 2
people 1
peoples 1
persevering 1
play 1
player 1
portrayed 2
previously 1
pub 1
rannerdale 2
ranulf 1
real 1
recognized 1
reconnoiter 1
referencing 1
refers 1
refuge 1
resistance 1
resisting 2
resists 1
return 1
revolves 1
ring 4
romance 1
saxon 1
seal 2
second 1
secret 1
seemingly 1
seen 1
sent 1
series 2
settlement 2
settlers 1
she 1
shield 4
shown 1
size 1
sneaks 1
soon 1
sought 1
spirit 1
spy 1
stand 1
story 5
struggle 1
subjected 1
succeed 1
successfully 2
sutcliff 1
symbolic 1
take 1
taken 1
that 1
the 48
their 6
theme 1
themselves 2
they 2
this 3
throughout 2
to 20
torture 1
traveling 1
ultimately 2
unconquered 1
under 1
unity 1
unto 1
up 2
upbringing 1
valley 1
very 1
wall 2
was 1
welsh 1
when 4
which 1
who 5
whole 1
whom 1
wiglaf 1
william 1
with 7
within 1
world 1
written 2
