31085557
/m/0gg9s8d
/m/0gg9s8d

2008
{"/m/03mfnf": "Young adult literature"}
a 33
about 7
abyss 1
actually 2
addie 17
address 1
adopted 2
adventured 1
again 1
age 1
agrees 1
all 10
along 1
already 1
also 5
always 1
an 5
and 73
angel 2
angie 2
annoy 1
any 2
anyone 1
apologizing 1
are 7
argued 1
argument 1
arm 1
around 5
arrested 1
as 14
asking 1
asks 6
assumed 1
at 14
attempt 1
attempted 2
attempting 1
attempts 3
avoiding 1
back 9
bank 1
barber 1
bathroom 1
be 4
because 4
been 2
before 2
being 1
beside 1
blink 1
blonde 1
bond 1
boss 1
boy 2
boyfriend 1
boyish 1
break 1
breaks 1
broke 1
brought 1
buildings 1
bunch 1
but 3
buy 1
by 6
call 5
calls 4
can 1
cannot 1
car 1
care 2
carted 1
caught 1
cell 1
chance 1
change 3
charge 1
charlie 1
charming 1
cheating 2
cheerleader 2
cheerleaders 9
cheertastic 1
christmas 5
civic 2
claims 1
clearly 1
close 1
closet 1
clothes 1
cold 1
colored 1
come 1
comes 2
comfort 1
coming 2
completely 3
confused 1
considered 1
constantine 3
contact 1
continue 1
control 1
conversation 1
couch 1
could 2
couldnt 1
counter 2
crush 1
customers 1
cut 1
debbie 1
delicious 1
did 1
didnt 1
direction 1
disagrees 1
distance 1
do 4
does 3
doesnt 1
dorrie 1
dougal 1
down 2
dressed 1
drive 1
drops 1
drunken 1
duke 9
email 1
embraces 1
enough 1
entered 1
eve 2
even 2
eventually 1
ever 1
everything 3
explains 1
eye 1
fact 2
family 3
fantastic 2
feel 1
feelings 2
feels 1
felt 1
festivities 1
find 2
finds 5
first 1
flobie 1
florida 2
food 1
for 16
forced 1
forget 1
forgetting 1
forgot 1
forgotten 1
found 2
friend 3
friends 1
from 6
front 1
fun 1
furious 1
gain 1
game 4
garage 2
get 11
gets 4
girl 2
girlfriend 2
girls 1
girly 1
girlygirl 1
gives 1
good 2
got 2
grab 1
grabs 1
gracetown 1
grandparents 1
group 1
guy 1
had 7
hair 1
halfway 1
hand 1
handstands 1
happy 2
hard 1
has 3
hashbrowns 3
hates 1
have 3
having 1
he 31
head 1
heads 1
hears 1
heartbroken 2
heaven 1
help 2
her 59
herself 4
highway 1
hike 1
him 13
his 16
hit 1
holiday 1
home 6
honda 1
hop 1
house 9
how 4
however 1
ice 1
if 2
in 25
indian 1
inside 3
interested 1
intertwined 1
into 4
introduces 1
involved 1
is 14
it 12
jail 1
james 1
jealous 1
jeb 14
jp 3
jubilee 15
just 4
keeps 2
keun 4
kindle 1
kiss 3
kisses 1
knew 3
know 2
known 1
knows 1
laughs 1
leads 1
lean 1
leans 1
leave 1
leaves 1
leaving 2
left 2
lesson 1
let 3
life 1
like 4
line 1
live 1
lives 1
long 1
looking 1
loses 1
losing 1
lots 1
lounging 1
love 2
loved 1
loves 2
made 1
make 4
makes 2
making 1
male 1
man 1
manage 1
manages 1
marathon 1
meant 1
meet 2
meets 2
message 2
met 1
minds 1
miracle 1
misfortunes 1
moment 1
more 2
morning 2
mother 2
movie 1
multiple 1
mysterious 1
name 2
named 4
nature 1
nearby 1
needed 1
needs 1
neighbor 1
never 1
new 4
nights 1
no 1
noah 6
not 11
nothing 1
notices 2
obviously 1
occasions 1
of 24
off 2
often 2
okay 1
old 1
on 12
once 6
one 2
only 2
or 1
other 2
others 1
ourselves 1
out 9
outside 1
over 4
own 2
parents 3
party 1
people 1
perfect 3
persuades 1
pet 2
phone 3
pick 1
picking 1
piece 1
pig 7
pink 1
place 1
play 2
possible 1
practicing 1
prince 1
probably 1
puts 1
quickly 1
reads 1
realize 1
realizes 5
really 1
receipt 1
recognizes 1
refer 1
referred 1
refers 1
remind 1
reminds 1
requesting 1
resemble 1
reservation 1
respond 2
restaurant 1
retrieve 1
returns 1
ride 1
right 2
rings 1
riot 1
runs 2
safely 1
sam 1
same 5
santa 1
say 1
says 1
school 1
seat 1
see 3
seem 1
seen 1
sees 3
self 1
selfabsorbed 1
sends 1
senses 1
separate 1
series 1
served 2
service 2
she 37
shocked 1
shoes 1
shop 1
shoulder 1
shovel 1
show 1
side 1
sidewalk 1
since 1
sits 2
sitting 1
situation 1
slams 1
small 1
smalltalk 1
snow 7
snowy 1
so 5
sobbing 1
sometimes 1
soon 1
sorry 1
speed 1
spend 2
splits 1
starbuck 3
steals 1
stomach 1
stood 1
store 5
storm 1
stranger 1
stuart 13
stuck 2
succumb 1
such 1
surrounded 1
tag 1
take 1
taking 1
talk 3
talked 1
target 1
teach 1
teacup 1
teenager 1
teens 1
tegan 2
tell 3
tells 10
that 35
the 77
their 6
them 8
then 6
there 5
they 24
things 3
think 1
thinks 3
this 5
though 1
threat 1
three 3
through 4
time 4
times 1
tires 1
to 73
tobin 13
together 1
tosses 1
towards 1
town 3
track 1
train 7
tries 1
turn 1
twister 4
two 1
typical 1
unaware 1
uniform 1
unless 1
up 5
upset 2
village 1
visit 1
waffle 9
waiting 1
walk 2
walks 1
wanders 2
wants 2
warm 1
was 9
wasnt 1
waste 1
watching 1
way 2
we 2
went 2
were 7
what 2
when 3
where 1
which 2
while 4
who 2
why 1
will 2
winter 1
with 11
woman 4
work 3
worker 1
works 1
would 3
wrapped 1
wrong 2
yet 4
