14276535
/m/03cz_ww
/m/03cz_ww
Evan Hunter
1956
156 1
38 1
45 3
87th 1
a 10
address 1
affections 1
after 2
aiming 1
alice 1
all 1
already 1
ambushes 1
and 14
apartment 3
apparently 1
are 2
arrives 1
as 3
asks 1
at 4
attributes 1
avail 1
back 1
be 2
beginning 1
behind 3
between 1
both 1
build 1
bush 5
but 1
caliber 1
carella 14
certain 1
city 1
colleagues 1
collected 1
coming 1
commit 1
conversation 1
convinced 1
cops 1
crime 1
crimes 1
cursing 1
date 1
david 1
day 1
death 2
deceased 1
det 2
detective 1
discovered 1
drops 1
due 1
end 1
enters 2
entrance 1
everything 1
evidence 1
faced 1
fails 1
family 1
fears 1
few 1
find 1
finding 1
finds 2
floor 1
footprint 1
for 3
foster 1
fought 1
franklin 1
friend 1
from 4
further 1
girlfriend 2
going 1
had 3
hand 1
handgun 1
hank 2
has 3
have 1
he 11
hears 1
heat 1
her 2
him 5
his 7
holding 1
hoping 1
however 1
husband 1
idea 1
ie 1
if 1
immediately 1
in 4
including 1
inside 1
instant 1
interrogates 1
interrogation 1
is 12
it 1
july 1
just 1
killed 1
killer 6
knows 1
later 1
leaves 1
leaving 1
left 1
looking 1
making 1
man 4
marries 1
mercer 2
might 1
mike 1
murder 1
murderer 2
murders 3
name 2
named 1
next 3
nights 1
nightshift 1
no 2
not 1
now 1
of 6
off 2
okay 1
on 4
once 1
out 3
paul 2
plot 1
police 2
precinct 2
previously 1
profession 1
promised 1
published 1
question 1
reardon 1
record 1
reporter 1
reveals 1
right 1
room 2
rushes 1
savage 3
scene 1
sentenced 1
series 1
she 2
shoots 1
shot 2
shouting 1
some 1
stating 1
steve 3
stop 1
sure 1
surrendered 1
suspects 1
target 1
teddy 7
telling 1
that 8
the 34
their 2
there 1
they 1
thigh 1
this 2
thoughts 1
three 1
to 10
twice 1
unknown 2
victim 1
waiting 1
was 2
wave 1
way 1
we 1
weight 1
well 1
when 4
where 1
who 1
whole 1
will 1
with 4
wives 1
work 1
wounded 1
