668549
/m/031b6d
/m/031b6d
Elaine Cunningham

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 10
able 1
aboard 1
about 2
against 2
air 1
although 1
anakin 2
and 18
anger 1
as 7
assists 1
assumes 1
at 2
audacity 1
avatar 1
back 1
battle 1
became 1
become 1
begin 1
blasphemy 1
both 1
brother 1
brothers 1
by 2
candidate 1
capital 1
captured 2
caused 1
charge 1
child 1
chume 4
claimed 1
closer 1
combat 1
combating 1
combined 1
commanding 1
comrades 1
considering 1
consortium 1
convinces 1
coruscant 1
cremation 1
current 1
dark 2
daughter 1
daughterinlaw 1
dead 1
death 2
displays 1
djo 3
dont 1
doubt 1
driven 1
due 1
durron 1
earlier 1
embraced 1
emotionally 1
end 1
enough 1
escape 2
experience 2
experiences 1
exterminate 1
family 3
fanatical 1
feel 1
fel 1
fights 1
find 1
fleet 1
fondor 1
for 3
force 1
forces 1
forcesensitive 1
former 2
friends 2
frigate 1
from 1
funeral 1
games 1
given 1
goddesses 1
grandfather 1
grievous 1
had 1
hand 1
hapan 2
hapans 1
hapes 4
happens 1
harrar 3
has 1
hatred 1
have 1
heels 1
help 2
her 13
heritage 1
herself 3
him 1
himself 1
his 2
how 2
however 2
human 1
in 10
including 1
incoming 1
instead 1
into 1
invade 1
invaders 1
is 8
it 1
jacen 2
jagged 1
jaina 12
jedi 3
just 1
ka 2
khalee 2
ksstar 1
ksstars 1
kyp 1
lah 3
like 1
likes 1
looked 1
looks 1
loss 3
losses 1
makes 1
meanwhile 3
meet 1
members 1
midst 1
mind 1
miscarry 1
mission 1
mother 4
myrkr 2
mysterious 1
named 1
new 1
next 1
no 1
not 1
novel 1
of 17
offer 1
on 5
one 1
or 1
order 2
other 2
overcome 1
owing 1
own 1
pain 1
physically 1
place 1
planet 1
play 1
plotted 1
poison 1
potential 1
practically 1
prepared 1
previous 1
priest 2
proper 1
pull 1
pursuit 1
queen 4
rejects 1
remembers 1
rename 1
rendezvous 1
replace 1
replacement 1
result 1
sees 1
selfloathing 1
sense 2
sent 1
shame 1
she 1
ship 1
side 2
since 1
skywalker 1
skywalkers 2
so 1
solo 2
solos 2
son 1
strangely 1
such 1
suffered 1
suicide 1
supporters 1
survivors 3
system 1
taa 4
temptations 1
tenel 2
tenenial 6
that 4
the 46
their 4
themselves 1
these 1
this 2
throne 1
time 1
to 17
trauma 1
trickster 2
tsavong 1
unborn 1
unlikely 1
up 1
upon 1
via 1
vong 8
voxyn 1
wake 1
warmaster 1
warrior 2
was 1
waves 1
weak 3
whether 1
which 1
with 4
within 1
wonders 1
year 1
yunharla 2
yuuzhan 5
