5953317
/m/0fgdr7
/m/0fgdr7
Michael Crichton
1968

a 6
activities 1
alan 1
alerting 1
allthemore 1
along 1
an 2
and 6
authorities 1
bankroll 1
barnaby 4
because 1
becomes 1
been 1
between 1
brilliant 1
brings 1
by 1
camp 1
challenging 1
come 1
conditions 1
conway 1
course 1
crew 1
cut 1
desert 1
dig 1
discovered 2
discovery 3
doesnt 1
drunken 1
earl 1
egyptian 3
egyptologist 1
encroach 1
excitement 1
exhilarated 1
extraction 1
fame 1
fifth 1
for 3
fortune 1
freelance 1
friends 1
go 1
grover 1
harold 1
harsh 1
has 2
hasnt 1
haul 1
have 1
he 2
hidden 1
hieroglyphics 1
highand 1
his 5
in 5
indiscretion 1
influence 1
international 1
is 5
it 1
job 2
jobs 1
karagannis 1
knowledge 1
logistical 1
long 1
looking 1
lord 1
lowplaces 1
luckily 1
made 1
manage 1
many 1
meets 1
message 2
moment 1
motley 1
nikos 1
of 8
off 1
offers 1
official 1
on 2
one 1
only 1
or 1
pharaoh 1
pierce 3
plan 1
problem 2
project 1
prospect 1
pull 1
robert 1
services 1
set 1
shares 1
small 1
smuggler 1
some 2
such 1
surely 1
suspicious 1
task 1
tells 1
that 1
the 12
their 2
there 1
thief 1
this 1
to 3
together 1
tomb 1
transient 1
translating 1
treasy 1
unnamed 1
up 1
wheatston 1
when 1
wherewithal 1
while 1
who 4
whose 1
will 1
with 3
without 1
would 1
writer 1
yet 1
