24021324
/m/07kf76g
/m/07kf76g
David Wellington

a 2
accept 1
and 3
as 1
at 1
become 1
by 1
captured 1
caxton 2
convert 1
converts 1
convict 1
conviction 1
critical 1
curse 1
destroy 1
either 1
end 1
entire 1
feeding 1
fight 1
following 1
for 3
former 2
girlfriend 1
has 1
her 8
hunter 1
imprisoned 1
in 1
information 1
intent 1
invaded 1
is 2
it 1
justinia 1
killing 1
laura 1
law 1
malvern 3
maximum 1
mentorturnedvampire 1
must 1
of 2
oldest 1
on 1
or 1
out 1
outside 1
penitentiary 1
police 1
population 1
prison 3
save 1
security 1
setting 1
she 1
side 1
skills 1
state 1
stepping 1
stock 1
the 7
to 4
torturing 1
trooper 1
up 1
used 2
vampire 4
vampiric 1
warden 1
way 1
well 1
when 1
worlds 1
zero 1
