5395968
/m/0djyc4
/m/0djyc4
Philip Roth
1977
{"/m/05hgj": "Novel"}
341 1
a 9
about 2
accept 1
acquainted 1
adds 1
after 2
all 1
america 1
and 10
annoys 1
anton 1
artist 1
as 2
asia 1
at 2
attends 1
attention 1
back 2
because 1
birgitta 1
birthplace 1
bodily 1
bovary 1
bratasky 1
but 2
by 4
california 1
calls 1
chekhov 1
class 1
classes 1
colleague 1
college 1
contrast 1
costudents 1
course 1
credited 1
crotch 1
date 1
dating 1
david 2
defecation 1
desiderio 1
desire 1
desires 1
deviated 1
di 1
discuss 1
do 1
does 1
doing 1
draftdodging 1
dreaming 1
dreams 1
duties 1
early 1
elisabeth 1
emotional 1
emotionally 1
emotions 1
endless 1
ends 1
equally 1
even 2
experiences 1
fact 1
facts 1
farts 1
features 1
fecal 1
feel 1
fellow 1
female 1
first 1
flaubert 1
flushing 1
for 1
formed 1
franz 1
from 2
fulbright 1
gets 1
girls 2
give 1
gives 1
goes 2
gorgeous 1
grant 1
grows 1
gustave 1
has 3
have 1
he 17
hear 1
held 1
helen 4
her 3
herbie 1
him 1
his 9
history 1
homosexual 1
hong 1
hotel 1
household 1
housework 1
imitating 1
in 8
inadvertently 1
inexperienced 1
influenced 1
ingenuity 1
insecure 1
insecurity 1
interest 1
interested 1
invites 1
is 3
it 1
itil 1
kafka 3
kepesh 6
kong 1
later 1
lazy 1
lectures 1
life 1
like 1
literature 3
lived 1
london 1
long 1
look 1
love 1
loved 1
lusting 1
madame 1
manage 1
many 1
mastering 1
meets 1
moves 1
never 1
new 1
norms 1
not 2
number 1
odd 1
of 8
often 2
oftenmasturbating 1
on 2
only 1
opening 1
or 1
other 1
others 1
own 2
papers 1
parents 1
persuades 1
places 1
pocket 1
portrayed 1
prague 1
presuming 1
professore 1
promiscuity 1
prostitute 1
psychoanalyst 1
refined 1
refuses 1
rooms 1
scale 1
see 1
seems 1
separates 1
sessions 1
sexual 1
sexually 2
she 2
shocked 1
side 1
so 2
social 1
sounds 1
speak 1
stillliving 1
store 1
storm 1
stress 1
student 1
students 1
submits 1
successful 1
swedish 1
teaching 1
telling 1
thanks 1
that 2
the 8
them 1
then 1
they 1
those 1
to 16
toilet 1
told 1
twenties 1
two 1
unable 1
up 2
uses 1
visit 1
visiting 1
wagner 1
wants 1
well 1
when 3
where 3
which 1
who 3
whole 1
why 1
with 6
woman 1
works 1
writing 1
yet 1
york 1
