19790245
/m/04q6phb
/m/04q6phb
Nicholas Rinaldi
2004-06

13 1
2001 1
a 3
affairs 1
also 1
an 2
and 4
battery 1
between 1
bombing 1
both 1
by 1
center 1
change 1
commissioned 1
complex 1
concerning 1
concierge 1
condominium 1
consists 1
destruction 1
echo 1
exluftwaffe 1
farro 1
fescu 1
fictitious 1
impact 1
in 1
include 1
includes 1
including 1
interactions 1
intertwining 1
involves 1
it 2
its 1
love 1
nations 1
of 4
on 1
operations 1
park 2
pilot 1
plastic 1
poisoning 1
quilter 1
rape 1
residents 3
romanian 1
several 1
sex 1
specialising 1
stories 1
story 1
suicide 1
surgeon 1
the 8
them 1
trade 1
undertaker 1
united 1
world 1
