14971627
/m/03h3cc8
/m/03h3cc8
Desmond Bagley
1977
a 7
about 1
acid 1
act 1
after 1
alarm 1
all 1
allowed 1
amazement 1
an 2
and 4
any 1
as 1
ashton 6
astronomically 1
at 1
attacker 1
bad 1
becomes 1
being 1
bells 1
causing 1
classified 1
closer 1
computer 1
consultant 1
counterintelligence 1
department 1
departments 1
desperate 1
enemy 1
engaged 1
england 1
enough 1
entrepreneur 1
espionage 1
eventually 1
face 1
father 1
fiances 1
find 1
finds 2
flee 1
forests 1
furthermore 1
genetics 1
george 4
government 1
having 1
he 5
her 1
hierarchy 1
high 1
highlands 1
him 1
his 3
home 1
however 1
if 1
in 5
industrial 1
information 2
is 6
island 1
jaggard 2
job 1
kgb 1
know 2
level 1
malcolm 1
marketing 1
more 1
much 2
multiple 1
mysterious 2
need 1
not 2
of 3
on 5
penelope 1
racing 1
real 1
regarded 1
regarding 1
remote 1
research 1
researcher 1
researching 1
respectable 1
ringing 1
runs 1
scottish 1
search 2
sends 1
sent 1
sister 1
surface 1
sweden 1
that 3
the 10
this 1
throws 1
to 9
true 1
unnamed 1
very 1
was 1
wealthy 1
where 1
whim 1
whitehall 1
with 1
without 1
younger 1
