2526948
/m/07l0gx
/m/07l0gx
Richard Preston
2002-10
1 2
11 2
12002 1
15 1
16 1
170 1
18 1
180 1
2 2
2000 1
2001 4
25 1
3 2
4 2
5 1
6 1
7 1
8 1
a 18
aa4 1
accident 1
account 2
actions 2
ad 1
again 1
against 1
air 1
alfred 1
almost 1
along 1
also 1
although 1
amerithrax 1
an 6
and 24
animal 2
animals 2
animaluse 1
anthrax 2
antibiotic 1
approval 1
are 7
arm 1
armed 1
army 5
artifact 1
as 5
assemblys 1
at 14
atlanta 1
atmosphere 1
attacks 2
attempt 1
author 1
authorities 1
awakening 1
baba 1
back 1
basis 1
be 1
became 1
because 1
becoming 1
been 3
begins 3
believes 1
bhola 1
bihar 1
biological 2
biopreparat 1
bioterror 1
bioterrorism 1
bioweaponeer 1
both 1
brilliant 2
buller 1
by 6
cabinet 1
can 1
capable 1
cdc 4
cdcs 1
certainly 1
child 1
cia 1
classic 2
committee 1
community 1
containment 2
continues 1
could 2
counterculture 1
da 3
daschle 1
daybyday 2
dc 1
dean 1
debated 1
defection 1
demon 1
demons 1
department 1
described 12
describes 1
description 1
designed 1
destruction 1
detail 1
detailed 2
determined 1
development 1
diedsix 1
discovered 1
discussion 1
disease 2
diseases 1
do 3
doj 2
dr 2
dramatically 1
dream 1
dreaming 1
e 1
ebola 1
efficacy 1
efforts 2
eight 1
emergency 1
ended 1
engineered 2
epidemiologist 1
eradicate 2
eradication 3
evacuation 1
events 1
ever 1
evidence 1
evolution 1
examined 1
example 1
exhorts 1
exists 1
experienced 1
experiments 2
eyes 1
facilities 1
facility 1
fact 1
failed 1
fate 1
favor 1
fbi 2
fbis 1
fdas 1
fighting 1
figure 1
finally 5
first 3
flee 1
florida 1
followed 1
follows 1
for 13
forensic 1
from 2
further 1
future 1
gene 1
general 1
genetically 2
germany 1
get 1
go 1
group 1
guru 1
had 3
harper 1
has 3
hatfill 1
he 1
health 3
heart 1
hemorrhagic 1
henderson 2
hendersons 1
hensley 2
hhs 1
him 1
his 1
history 2
hoc 1
hopkins 1
hospital 1
hot 1
hotly 1
house 1
housed 1
human 2
icbms 1
implications 1
in 19
incident 1
including 3
india 1
indian 1
indignation 1
induce 1
induction 1
infected 2
infecting 1
infections 1
infectious 1
institute 1
intended 1
interest 1
interleukin4 1
into 1
investigation 1
investigations 1
investigators 1
iraq 1
is 15
island 1
it 3
its 1
jacksonramshaw 2
jahrling 1
january 1
johns 1
join 1
justification 1
karoli 1
kills 2
known 1
lab 2
last 2
lawrence 1
leading 1
leads 1
led 1
lesions 1
lethal 1
letter 1
life 1
lisa 1
local 1
looks 1
louis 1
mark 1
maximum 1
mcf 3
medical 1
medicine 1
meschede 1
mi6 1
microbiologist 1
modified 1
monkey 1
monkeys 4
moon 1
more 1
mousepox 2
muse 1
nature 1
need 1
needed 1
neem 1
news 1
nonhumans 1
not 1
now 1
october 2
of 49
official 1
old 1
on 4
one 1
opposition 1
or 1
organized 1
originally 1
orthopox 1
other 1
others 1
outbreak 2
outside 1
over 1
particular 1
pasechnik 2
peaceful 1
period 2
permission 1
person 1
personal 1
peter 1
photo 1
physician 1
picked 1
pioneer 1
plague 2
possible 1
potential 1
poxviruses 1
preserved 1
procedure 1
program 3
protocols 1
provisional 1
public 2
pustular 1
question 1
quickly 1
railway 1
reactions 1
recounted 2
recruited 1
reference 1
referred 1
reiteration 1
related 3
relates 1
remaining 1
replication 1
repositories 2
research 4
resistant 1
response 1
retoucher 1
revealed 1
ring 1
robert 1
rule 1
russia 1
russians 1
saint 1
same 1
samples 1
school 2
scientist 1
scientists 1
section 9
senator 1
sep 2
services 1
seven 1
shown 1
side 1
similarly 1
since 2
site 1
skulls 1
slowly 1
smallpox 20
something 1
sommer 1
soviet 2
st 1
station 1
steven 1
stevens 1
story 5
strain 2
successful 1
suite 1
sun 1
superpox 1
supersmallpox 1
tabloid 1
tatanagar 1
tells 1
terrorist 1
textbook 1
that 7
the 98
their 3
them 1
there 1
this 3
three 1
throughout 1
time 3
to 19
told 1
tom 1
total 1
transfection 1
two 1
type 1
uk 1
university 1
unusual 1
up 2
uproot 1
us 4
usamriid 7
usamriidis 1
usamrmc 1
use 2
vaccination 1
variety 1
various 1
vector 1
victim 2
virtual 1
virus 6
vladimir 1
walburga 1
was 5
washington 1
we 2
weapon 1
weapons 1
well 1
west 3
whether 1
while 2
white 1
who 4
with 8
woman 1
work 2
workers 1
working 1
year 1
years 1
