26968520
/m/0bs1zrv
/m/0bs1zrv
Dr.Sarojini Sahoo
2008
{"/m/05hgj": "Novel"}
a 17
actually 1
additionally 1
also 2
an 1
anarchism 1
and 9
artist 1
at 3
background 1
balances 1
become 1
becomes 2
begins 1
between 1
broader 2
but 2
by 1
central 1
character 1
characters 1
comes 1
conclusion 1
convincing 1
deals 1
delicately 1
delves 1
falls 1
familiar 1
form 1
from 2
hence 1
higher 1
highlights 1
hindu 1
how 1
in 4
india 2
individual 2
into 2
is 4
it 4
kuki 2
look 1
love 4
lover 1
man 2
manner 1
manwoman 1
mere 1
merely 1
moods 1
much 1
muslim 1
not 1
novel 4
of 14
over 1
pakistan 1
part 1
perfect 1
perverted 1
physicality 1
planes 1
platonic 1
plays 1
portrayed 1
portrays 1
pragmatic 1
providence 1
questioning 1
reader 1
readers 1
relationship 2
represents 1
rises 1
roles 2
ruler 1
sahoo 2
same 2
sensitive 1
sets 1
sociocultural 1
state 3
statesponsored 1
story 2
subtly 1
superiority 1
takes 1
terrorism 1
that 4
the 23
then 2
these 2
though 1
time 3
to 1
topic 1
transports 1
two 3
unusualness 1
who 1
wife 2
wishes 1
with 4
woman 2
world 1
