4237276
/m/0brh_p
/m/0brh_p
Enid Blyton
1942
a 7
accident 1
airheaded 1
alison 3
also 1
although 1
an 1
and 12
another 1
antagonist 1
antisocial 1
archetypal 1
artist 1
at 1
basically 1
becomes 1
beetles 1
believe 1
belinda 1
book 1
bright 1
but 2
by 3
can 1
cant 1
case 1
causes 1
character 2
characters 2
clare 2
cousin 1
decent 1
depart 1
discovered 1
ditzy 1
doris 1
elward 1
erica 3
events 1
excitement 1
father 2
fees 1
fenworthy 1
finally 1
fire 1
first 1
flatness 1
for 3
former 2
formers 1
friend 1
george 1
girl 1
girls 2
going 1
gregory 1
have 1
helped 1
her 2
heroine 1
herself 1
hilary 1
him 1
in 4
include 2
into 1
involved 1
is 14
isabel 2
james 1
janet 2
joining 1
kathleen 1
kind 1
kindhearted 1
leaving 1
lewis 1
lucy 5
machinations 1
mad 1
mamzelle 4
margery 5
matron 1
midnight 1
miss 3
naylor 1
nearer 1
new 2
newly 1
nora 1
of 2
often 1
old 1
older 1
onedimensional 1
oriell 1
other 2
oullivan 4
paint 1
painter 1
party 1
pat 2
pay 1
person 1
popular 1
portrayed 1
pretend 1
puts 1
rendering 1
rescue 1
results 1
rita 1
roberts 1
robins 1
rude 1
school 2
second 4
see 1
sensible 1
she 5
shelia 1
sixteen 1
spectacle 1
st 2
story 1
sulky 1
sullen 1
suspect 1
talented 1
tea 1
term 1
tessie 2
than 1
the 9
their 2
them 3
then 1
theobald 1
there 1
therefore 1
they 1
this 2
thrilling 1
through 1
throughout 1
to 4
towers 1
trapped 1
trouble 1
twins 1
type 1
unable 2
well 1
wentworth 1
when 1
which 2
who 1
winifred 1
winnie 1
with 1
without 1
year 1
years 1
