11229997
/m/02r4dtj
/m/02r4dtj
James Welch
1986
1870 1
44 1
a 35
able 3
about 1
accepts 2
act 1
actions 1
affair 1
after 5
against 2
alarm 1
alerts 1
all 1
alone 2
along 1
also 1
although 1
americans 1
an 2
and 42
animal 2
animals 2
another 2
apparently 1
appears 1
appoints 1
are 3
around 2
aroused 1
as 8
at 4
attached 1
attempts 1
attending 1
avenge 1
awakens 1
away 2
back 5
bad 1
bag 1
bait 1
band 1
bands 2
banishes 1
be 3
beaver 1
because 3
become 1
becomes 2
been 2
before 5
begin 1
begins 1
being 2
beneath 1
beside 1
better 1
biggest 1
bitten 1
blackfeet 1
boarding 1
bodies 2
body 2
bones 1
book 2
boy 1
breasts 2
bring 2
bringer 2
brother 1
buffalo 1
bull 1
but 4
butterfly 1
by 8
calf 1
called 1
camp 4
can 3
captured 1
caught 1
ceremony 2
change 1
changed 1
changing 1
chapters 1
character 1
chief 2
child 4
children 1
chosen 1
close 4
come 1
comes 1
companions 1
compared 1
concludes 1
confront 1
confuse 1
consent 1
contents 1
contracts 1
courage 1
crime 1
crow 16
crows 4
culture 3
cure 1
cut 2
cuts 1
dance 2
dances 1
daughter 1
dead 2
decide 1
decides 4
declare 1
derives 1
desire 1
desires 1
destruction 1
detailing 1
did 2
diet 1
different 1
disaster 1
disease 1
disfavor 1
dishonor 1
distant 1
do 2
does 3
dog 9
dream 3
drive 1
driving 1
dry 1
during 1
each 1
earns 1
encroaching 1
end 2
ends 1
escape 1
exact 1
fact 1
facts 1
failed 1
family 3
farmer 1
fast 6
fastest 1
father 2
feather 2
feeling 2
feverish 1
few 1
fight 1
figures 1
fill 1
find 1
finds 2
finger 2
fingers 2
first 3
fish 1
fisher 2
foe 1
food 1
foolishly 1
foolishness 1
fools 15
for 9
forced 1
foresaw 1
forming 1
found 1
four 1
friend 1
from 8
full 1
fun 1
further 1
gain 1
gains 2
gang 2
get 1
gets 1
girl 2
go 3
goes 1
good 3
had 2
hair 1
happened 1
has 9
have 1
having 2
he 41
healer 1
healing 1
hears 1
heavy 3
heinous 1
hence 1
her 6
herd 1
herself 2
hidden 1
hide 3
hides 2
him 12
himself 3
his 21
horse 6
horses 3
how 1
however 4
hunter 1
hunting 1
if 1
images 1
implants 1
in 17
including 1
indian 1
injured 1
injury 1
into 1
intruders 1
is 24
it 2
joins 2
kidney 12
kidneys 1
kill 3
killing 1
kills 5
knows 1
lake 4
land 2
last 1
lead 1
learn 1
learned 1
leave 1
leaves 2
leaving 1
lifeless 1
lifestyles 1
like 1
little 1
live 1
lives 2
living 1
lodge 1
loss 1
main 1
makes 1
man 11
marries 1
medicine 6
meets 1
migrate 1
mikapi 2
missing 1
moment 1
more 1
morning 1
most 1
mother 1
mountain 1
much 1
must 1
naked 2
name 5
napikwan 2
napikwans 2
native 1
needs 1
nighttime 1
nor 1
north 2
not 5
notices 1
novel 1
number 2
obtain 2
of 34
off 2
offspring 1
on 5
one 2
open 1
ordered 1
other 3
others 1
out 4
outside 1
over 2
owl 3
p 1
paint 6
partakes 1
pass 2
passes 1
pegs 1
people 2
pikunis 6
place 1
platform 1
pole 2
portrayed 1
powerful 1
powerless 1
pregnant 2
prepare 1
pressed 1
prevent 1
prophetic 1
provide 1
punishment 1
pure 1
purify 1
pursuers 1
puts 1
rabid 1
rabies 1
raid 2
raised 1
raven 1
realizes 3
recurrent 1
red 6
region 1
releasing 1
renegades 1
represented 1
request 1
respect 1
responsible 1
return 4
returns 3
reveal 1
reveals 1
rid 1
ridesatthedoor 1
robes 1
rock 1
role 2
roles 1
ropes 1
rot 1
rumors 1
runner 1
runners 1
running 2
rushes 2
sacrificed 1
same 1
saw 1
scab 1
scalp 2
scared 1
school 1
scout 2
searching 1
second 3
seeing 1
seems 1
seen 2
seizers 1
sending 1
sends 1
sent 1
sex 1
sexual 3
shamed 1
she 8
shield 3
shot 2
should 1
shouts 1
showing 1
shows 1
sings 1
size 1
slated 1
sleep 2
sleeping 2
smallpox 1
snap 1
snowstorm 1
society 1
soldiers 1
some 1
songs 1
southern 1
spear 1
spirit 1
spirits 1
spread 1
spreading 1
stacked 1
star 2
starting 1
stay 1
steal 1
stealing 1
still 1
stone 1
stories 1
story 1
stream 1
strict 1
strokes 1
success 1
sun 3
supplies 1
swarming 1
take 1
takes 1
tells 4
tension 1
terrorized 1
that 13
the 93
their 8
them 1
then 1
they 4
thigh 1
things 1
think 1
third 3
this 9
time 2
to 58
tough 1
towards 1
traditions 1
transferred 1
trap 1
tribe 8
tries 1
trying 1
tying 1
unable 1
until 1
unusual 1
up 2
upon 2
use 1
used 1
uses 1
vagina 1
vengeful 1
very 1
village 2
vision 5
visions 1
visiting 1
visits 1
vow 1
vowed 1
wakes 1
warrior 2
warriors 1
was 4
watches 1
way 1
weak 1
welch 1
were 1
what 2
whatever 2
when 1
where 3
which 2
while 2
white 13
who 2
whole 1
whose 1
wife 5
will 2
with 7
within 2
without 1
wolf 2
wolverine 1
woman 6
world 1
would 2
wound 1
yellow 16
young 2
younger 1
