18850312
/m/04ghk74
/m/04ghk74
Brad Ferguson
1991-04
a 3
admiral 1
an 1
and 2
are 1
attempt 1
balance 1
been 1
beloved 1
both 1
captain 2
could 1
crewmate 1
day 1
decker 1
device 1
earth 1
eighteen 1
end 1
federation 1
five 1
for 1
former 1
gdath 1
hand 1
has 2
his 2
in 1
invented 1
is 1
it 2
its 1
kevin 1
kirk 3
klingons 1
man 1
meets 1
mission 1
months 1
new 2
now 1
of 3
on 1
original 1
over 1
overseeing 1
plans 1
power 1
pursue 1
refit 1
relationship 1
riley 1
save 1
scientist 1
ship 1
sides 1
since 1
that 1
the 8
tip 1
to 3
who 1
willard 1
year 1
