4910689
/m/0ctsfw
/m/0ctsfw
Dean Koontz
1987
a 14
ability 1
act 1
actions 1
after 2
against 1
all 2
allow 1
almost 1
also 1
an 2
ancient 1
and 22
any 1
appear 1
are 5
as 5
at 2
be 1
beast 1
because 1
becomes 2
before 1
begins 1
behavior 1
bestial 1
between 3
bloodshed 2
book 1
brutal 1
but 1
by 2
can 5
carnie 1
carnies 1
carnival 2
center 1
civilization 2
claim 1
colored 1
comes 1
confidant 1
could 1
created 1
creates 1
creatures 1
cruel 1
dangerous 1
deaths 1
decide 1
desire 1
destroy 1
diabolical 1
discover 1
disguise 2
drifted 1
dusk 1
each 1
emotions 1
encounter 1
engineered 1
era 1
even 1
exchange 1
exist 1
experience 1
extremely 1
eyes 2
face 1
fair 1
fame 1
family 1
fear 1
fellow 1
few 1
for 3
forms 1
found 1
friend 2
from 4
future 1
genetically 1
genocidal 1
give 1
go 1
goblin 2
goblins 9
grounds 1
gulf 1
had 2
has 3
hate 1
he 3
her 1
herself 1
hiding 1
him 3
himself 2
his 6
human 5
humans 2
in 7
including 1
intelligent 1
is 4
it 1
joel 2
join 1
killed 1
killing 2
later 1
leads 1
least 1
like 2
local 1
long 1
lover 1
made 1
make 1
mankind 1
many 1
marriage 1
matures 1
members 2
mimic 1
mining 1
misery 1
mission 2
monsters 2
more 1
murder 1
murdering 1
murderous 1
named 3
negative 1
normal 1
of 13
on 4
one 2
only 3
or 2
out 1
own 1
pact 2
past 2
pennsylvania 1
people 1
person 1
personal 1
plans 1
pleasure 1
possibly 1
predations 1
premonitions 1
proceeds 1
prominent 1
prophetic 1
psychic 1
purple 1
quickly 1
raines 2
reality 1
receive 1
reconciling 1
refuses 1
regrets 1
relationship 1
report 1
responsible 1
revealed 1
revelation 1
runins 1
rya 4
safety 1
same 1
secret 1
see 3
seeming 2
seen 1
set 1
several 2
shape 1
she 4
shift 1
skyline 1
slim 8
small 1
sneaking 1
someone 1
soon 1
suffered 1
superhuman 1
superior 1
superpredators 1
support 1
technologically 1
terribly 1
that 5
the 23
their 7
them 4
there 1
these 2
they 11
this 3
through 2
to 14
together 1
too 1
torment 1
torturing 1
town 1
tuck 1
twilight 1
ultimate 1
ultimately 1
uncle 1
up 1
us 1
version 1
wage 1
wants 1
war 1
was 1
way 2
what 1
whenever 1
which 5
while 2
who 2
wife 2
with 5
woman 1
world 1
would 2
yontsdown 1
young 1
