3379021
/m/098j75
/m/098j75
Pierre Christin
1970

186 2
3d 1
a 36
abandoned 1
able 3
absorbed 1
across 1
activates 2
activating 1
addresses 1
affected 1
after 2
agents 1
agrees 1
aircraft 4
all 3
alone 1
also 2
ambush 1
ammunition 1
an 3
and 42
any 1
apparent 1
appears 2
archives 1
are 12
army 2
around 1
arrives 1
as 8
astonished 1
at 6
attack 1
attempted 1
attempts 1
attention 1
away 1
back 3
bad 1
base 11
be 4
beating 1
been 3
before 2
begins 1
being 1
below 1
blasted 1
boat 1
born 1
borrowed 1
both 1
brasilia 3
braslia 1
bridge 1
bring 1
brought 3
bubbleprisons 2
build 2
building 1
built 3
but 6
by 9
call 1
can 5
cant 1
cap 1
capable 1
captive 1
captives 1
captivity 1
captured 1
cargo 2
caused 1
cave 2
chess 1
chief 2
circle 1
cities 1
city 4
civilisation 1
collapses 1
colleagues 1
come 2
command 1
commandeered 1
completed 1
completing 1
conference 1
confronts 1
confusion 1
connected 1
conquer 1
continues 1
cooperation 1
couldnt 1
damage 1
days 1
deal 1
decides 1
deep 1
deluge 1
department 1
departure 1
despite 1
destroy 1
devastation 1
device 1
disaster 1
discover 3
discovers 1
dive 1
diving 1
doesnt 1
dreams 1
drift 1
eager 1
earth 4
effect 1
emits 1
empire 1
encounter 1
engulfing 1
ensnare 1
ensure 1
entering 1
equipment 1
eruption 1
escape 3
escaped 1
escapes 1
evading 1
event 1
examining 1
explains 3
explodes 1
explosion 1
ferry 1
few 1
filling 1
final 2
find 5
first 1
flames 1
fled 1
flee 1
fleet 1
flooded 1
floor 2
flows 1
follow 1
following 2
for 3
forbidden 1
forced 1
forever 1
form 1
foundation 1
from 11
galaxity 5
galaxy 1
game 1
gathered 1
get 3
give 1
go 1
got 1
great 1
greenwich 1
greeted 1
ground 3
group 3
had 1
hand 2
hands 1
happens 1
has 9
have 4
he 18
heading 1
headquartered 1
heads 1
heights 1
help 1
helping 1
her 6
hesitate 1
hideaway 1
hiding 1
higher 1
him 7
himself 1
his 12
hold 1
hope 1
hostage 1
hotel 1
hovercraft 3
how 1
however 1
hudson 1
ice 1
in 30
incapacitated 1
induction 1
informs 2
inside 1
into 3
introduces 1
inventions 1
is 15
it 7
jeep 1
jump 1
just 3
keep 2
kept 1
killing 1
knock 1
knocking 1
knowledge 1
lab 2
laboratories 1
laboratory 1
later 1
laureline 18
lava 1
leader 1
leads 1
leave 2
leaving 1
left 1
level 1
liberty 1
lift 1
light 1
line 1
link 1
living 1
load 1
loot 1
looters 4
machine 10
machines 1
macy 1
made 2
make 5
makes 1
man 1
manage 2
material 1
means 1
meanwhile 1
melt 1
men 1
mental 1
minaturiser 1
minds 1
miniaturized 2
mission 1
modifications 2
molecular 1
moment 1
more 1
most 1
mountain 1
much 1
national 1
nations 4
needed 1
never 1
new 4
next 1
night 1
no 1
normal 1
north 1
not 1
now 2
nuclear 2
object 2
of 27
off 1
offer 1
offers 1
on 8
once 1
one 2
only 1
operating 1
operational 1
orbit 1
ordered 1
orders 2
out 2
outside 2
over 1
own 1
park 1
part 2
partner 1
partnership 1
past 1
patrol 1
period 1
pitch 1
places 1
planet 1
plans 1
plaza 1
plots 1
polar 1
pole 1
prepares 1
preserve 1
president 1
pretends 1
prisoner 1
process 2
proposing 1
protestations 1
prototype 3
pursue 1
put 2
rae 12
ransacking 1
reaching 2
realized 1
realizes 1
recaptured 1
recover 1
reducing 1
relaxes 1
relay 2
releases 1
remain 1
reminds 1
removed 1
renegade 1
rescued 1
respond 1
response 1
return 1
returned 1
returning 1
returns 1
right 1
rising 1
robot 1
robots 10
rocket 2
round 1
run 1
safe 1
salvage 1
same 1
save 1
schroeder 14
scientific 3
scientist 1
scientists 1
search 1
searching 1
secret 2
secrets 1
secure 1
see 3
seeking 1
service 1
she 3
shifting 1
ship 5
shocked 1
shouldnt 1
similar 1
since 2
size 2
skill 1
slips 1
so 1
some 2
something 1
soon 1
space 2
spacetime 6
spatiotemporal 2
spies 1
spotted 1
start 1
state 2
states 1
station 4
statue 1
stay 1
steps 1
stole 1
stolen 1
store 1
streets 1
strikes 1
strong 1
struggle 1
stumble 1
subway 1
successfully 1
summoned 1
sun 12
surface 1
surprised 1
sweeps 1
take 4
takeover 1
takes 1
taking 1
team 2
technocrat 1
tells 3
temporary 1
than 1
thanks 1
that 19
the 114
their 5
them 10
there 4
they 19
this 1
three 1
thrown 1
tiltwing 1
time 3
to 65
together 2
top 2
towards 1
transferring 1
traveler 1
traveling 1
tries 1
trio 1
troops 1
trying 1
tsunami 1
tunnels 1
two 1
un 1
unconscious 1
under 1
underground 1
underwater 1
united 5
university 2
until 1
up 1
us 1
used 1
usual 1
valrian 30
vast 1
venus 1
very 1
via 2
videoscreen 1
village 1
visit 1
volcanic 1
war 1
was 1
washington 2
wasnt 1
watch 1
water 1
waters 1
wave 1
way 2
weapons 1
well 1
were 1
west 3
what 4
whatever 1
when 2
where 1
which 3
while 2
who 6
will 4
winds 1
with 5
work 4
xombul 22
year 2
yellowstone 2
york 4
