4027787
/m/0bd81f
/m/0bd81f
Marguerite Duras
1952
7 1
7th 1
8th 1
a 12
after 1
all 1
and 9
anne 4
apartment 1
are 1
at 1
away 1
banal 1
before 1
between 2
boulevard 1
by 2
caf 4
causes 1
chapter 4
chauvin 3
child 2
class 1
climactic 1
comfortable 1
concerns 1
consequences 1
conversing 1
currently 1
daily 1
de 1
denouement 1
desbaresdes 2
dinner 2
divide 1
drinking 1
drunk 1
fatal 1
final 2
followed 1
frequently 1
giraud 2
her 5
his 1
home 2
house 1
ill 1
imagine 1
in 7
initially 1
is 4
it 1
itself 1
la 1
last 1
late 1
lessons 2
life 1
lover 1
lovers 1
madame 1
mademoiselle 1
man 2
mer 1
middleclasses 1
near 1
occurred 1
of 3
on 1
party 2
piano 3
plot 1
reaches 1
reason 1
relationship 1
relationships 1
represents 1
returning 1
returns 2
rich 1
routine 1
scandal 2
seen 1
she 1
shooting 1
social 1
son 1
story 1
subsequently 1
takes 1
taking 1
teacher 1
the 19
then 2
time 1
to 5
try 1
unemployed 1
varying 1
vomiting 1
way 1
where 1
which 1
whiles 1
who 1
whose 1
why 1
wine 1
with 3
woman 3
working 2
workingclass 1
