27537387
/m/0c0241b
/m/0c0241b
Elmore Leonard
1977
a 3
about 1
according 1
al 1
and 6
are 1
attention 1
bandy 1
big 1
brought 1
but 1
by 2
can 1
checks 2
company 2
david 1
davis 1
days 1
descend 1
detroit 2
didnt 1
do 1
draws 1
enemies 1
face 1
fateful 1
finish 1
fire 1
for 2
found 1
free 1
gets 1
getting 2
go 1
goons 1
government 1
hanging 1
has 1
he 5
help 1
helped 1
him 2
himself 1
his 6
holy 1
hotel 2
idea 1
immediately 1
in 5
is 6
israel 2
it 1
just 1
keep 1
killers 1
killing 1
know 1
land 1
lawyer 2
living 1
lobbies 1
marine 2
marines 1
media 1
mel 1
neck 1
night 1
no 1
now 2
of 3
off 1
on 3
once 1
one 1
only 1
out 4
photographed 1
plan 1
press 1
prison 1
problem 1
purpose 1
put 1
rosen 6
run 1
safe 1
sent 1
sgt 1
sight 1
simply 1
sleazy 2
some 1
spends 1
staying 1
stuck 1
sun 1
tail 1
that 2
the 13
there 1
they 1
this 1
three 1
to 5
tour 1
untrusty 1
up 1
us 2
vet 1
vietnam 1
way 1
what 1
where 1
with 3
wound 1
