17095281
/m/0421bck
/m/0421bck
Ismail Kadare
1963
{"/m/03g3w": "History"}
160s 1
20 1
a 2
about 1
accompanied 1
albania 1
albanian 1
also 1
an 2
and 5
another 1
are 1
army 1
as 2
at 1
back 1
being 1
bodies 1
bones 1
burial 2
by 2
collect 1
colonel 1
counterpart 1
countrymen 1
countryside 1
deeper 1
died 1
digs 1
disinterment 1
during 1
early 1
ended 1
enterprise 1
find 1
followed 1
for 4
futility 1
general 3
german 2
gestures 1
go 1
had 1
his 2
home 1
ii 1
in 3
into 1
is 3
italian 3
italy 1
job 1
killed 1
like 1
locate 1
looking 2
meaninglessness 1
national 1
nearly 1
of 7
organise 1
pride 1
priest 2
questions 1
remains 1
return 1
scale 1
second 1
sent 1
since 1
soldiers 1
struggles 1
such 1
take 1
talks 1
task 1
thankless 1
the 14
their 1
them 1
they 5
to 4
value 1
war 4
who 3
with 1
wonder 1
world 2
years 1
