11333768
/m/02r811q
/m/02r811q
Frederic Dannay

a 6
all 1
also 1
among 1
an 4
and 4
apartments 1
ashtray 1
assortment 1
at 1
bed 1
begins 1
bloodstains 1
bludgeoned 1
bookends 1
books 1
but 1
button 1
by 1
case 1
cigarettes 1
city 1
clears 1
clue 1
conditions 1
corpse 1
creating 1
deduction 1
demonstrating 1
department 1
drug 1
ellery 2
employees 1
except 1
extended 1
falls 1
family 1
features 1
finale 1
fingerprint 1
floor 1
folding 1
french 1
friends 1
full 1
furniture 1
grains 1
groundfloor 1
halfsmoked 1
hands 1
he 1
his 1
homicide 1
identity 1
important 1
in 4
include 1
inspector 1
into 1
involving 1
is 3
keys 1
last 1
line 1
list 1
meet 1
members 1
model 1
murder 1
murderer 1
must 1
mysterywriting 1
new 1
not 1
novel 2
of 20
on 1
one 1
only 1
onyx 1
other 1
owner 1
performs 1
piece 1
possession 1
possible 1
powder 1
private 1
pushes 1
queen 2
reveal 2
revealed 1
richard 1
ring 1
set 1
she 1
some 1
son 1
squad 1
store 5
story 1
suite 1
suspects 2
that 1
the 24
things 1
to 2
top 1
tumbles 1
ultramodern 1
unusual 1
victim 1
wealthy 1
when 1
who 1
whose 1
wife 1
window 1
with 1
york 1
