2030098
/m/06gbj_
/m/06gbj_
Clive Cussler
1976
112 2
20 1
20th 1
30 1
75 1
a 17
able 1
aboard 1
actually 1
after 5
agency 2
agreement 1
air 1
alive 1
all 2
allowing 1
already 1
an 2
and 19
approaches 1
are 2
area 2
arsenal 1
as 2
assassins 2
at 1
atlantic 2
attempts 1
audacious 1
available 1
back 1
balance 1
ballistic 1
band 1
battle 1
be 2
been 1
begin 1
being 1
believed 1
best 1
billion 1
board 2
boat 1
books 1
both 1
bottom 2
breakdown 1
brewster 4
brooklyn 1
buried 1
but 2
by 8
byzanium 8
called 2
can 3
capture 1
captured 1
cause 1
central 1
century 1
chunk 1
cia 2
clues 1
coast 1
colleagues 1
coloradans 1
compressed 1
contains 1
control 1
convinces 1
cornet 1
coupled 1
crashed 1
crew 4
crisscross 1
current 1
data 2
dead 1
deep 2
defense 1
determines 1
development 1
dirk 2
disasters 1
discover 1
discovered 1
discovering 1
discovers 1
do 2
dollars 1
down 1
dr 3
drop 1
early 1
ends 1
engage 1
england 1
english 1
enough 1
europe 1
eventually 3
experiments 1
expose 1
extracting 1
extremely 1
fall 1
fearful 1
figures 1
finding 1
for 3
found 2
french 3
from 2
gene 1
get 1
gives 1
goods 1
government 1
grave 1
great 1
group 3
guard 1
harbor 1
has 1
have 1
hayes 2
he 4
helicopter 1
hidden 1
hired 1
his 6
history 1
hold 1
holes 1
home 1
hopes 2
hostage 1
hurricane 1
immense 1
impossible 2
impotent 1
in 13
including 1
incoming 1
infamous 1
information 1
intact 1
intelligence 2
is 9
island 1
it 3
joshua 2
just 1
know 1
koplin 3
laid 1
large 1
last 2
later 1
launch 1
leaders 1
leads 1
leak 1
leaking 1
leapfrog 1
leave 1
lies 1
likely 1
line 1
link 1
located 1
maiden 1
make 1
making 1
marine 1
maritime 1
marriage 1
massive 1
mdash 2
meanwhile 1
member 1
men 2
met 1
meta 2
method 1
mined 2
mineral 5
missiles 1
mission 2
model 1
more 2
most 2
narrow 1
national 1
navy 1
near 1
needs 1
nervous 1
never 2
new 1
no 1
north 2
northern 1
not 1
novel 1
now 1
nuclear 1
ocean 1
of 28
off 2
on 4
once 1
one 3
only 4
onto 1
opened 1
operation 1
ore 1
out 2
pacific 1
part 1
passage 1
patch 1
pentagon 1
persuaded 1
pinpoints 1
pitt 6
place 1
plan 1
positively 1
power 4
presentation 1
president 2
previously 1
program 2
project 7
protagonist 1
quarter 1
raise 2
raising 1
rare 2
reaches 1
realize 1
realizing 1
recovers 1
reemerges 1
regains 1
rescued 1
result 1
revealed 1
revelation 1
right 1
rms 1
running 1
russian 1
sabotage 1
salvage 2
satellite 1
sea 1
seagram 4
search 1
searching 2
secretly 1
section 2
secured 1
seen 1
sends 1
set 2
setting 1
ship 6
shipment 1
shocked 1
shot 1
sicilian 7
sid 1
small 1
sound 1
source 1
southby 1
soviet 2
soviets 2
spies 1
star 1
states 4
steal 2
stolen 1
stop 1
story 1
strikes 1
submersibles 1
sufficient 1
sunk 1
supply 2
take 1
tank 1
task 1
technology 1
test 1
than 2
that 9
the 88
their 2
them 1
themselves 1
then 1
there 1
they 5
this 1
throw 1
tiny 1
titanic 8
titanics 2
to 28
topsecret 2
towed 1
trap 1
trip 1
troubles 1
trying 1
under 1
underwater 1
united 4
up 1
us 1
uses 1
using 3
ussr 3
vault 1
village 1
vital 1
voyage 1
was 4
water 1
waves 1
way 1
when 3
which 3
while 1
white 1
who 1
with 6
within 1
word 1
world 2
worth 1
would 2
wreck 1
yard 1
years 2
york 1
