15948847
/m/03qh_gq
/m/03qh_gq
Michael Swanwick
2008-01
a 8
acquires 1
adventure 1
and 6
arrival 1
as 3
aspire 1
avalon 1
babel 1
be 1
birth 1
but 1
by 1
centaurs 1
clash 1
conceived 1
crawls 2
crippled 1
crowns 1
danger 1
dare 1
daughter 2
deceit 1
dragon 2
dragons 1
elven 1
encounter 1
esme 1
faerie 1
fey 1
finds 1
following 1
get 1
giants 1
has 1
he 4
her 1
high 1
himself 1
his 4
immortal 1
in 3
iron 1
king 1
later 1
lieutenant 1
lifechanging 1
love 1
makes 1
may 1
measure 1
memory 1
mind 1
minor 1
named 1
night 1
no 1
not 1
of 3
on 2
one 1
past 1
period 1
politician 1
refugee 1
rises 1
same 1
sets 1
somewhere 1
subjects 1
surrogate 1
that 1
the 5
there 1
think 1
time 1
to 4
travels 2
true 1
truth 1
underground 1
village 1
was 1
what 1
where 1
who 1
whom 1
will 5
with 2
witnesses 1
woman 1
young 2
