27140960
/m/0gj9d36
/m/0gj9d36
Philippa Gregory

1485 1
a 1
action 1
aftermath 1
an 1
and 2
assumed 1
battle 1
bosworth 1
boy 1
boys 1
death 1
edward 1
elizabeth 2
ends 1
escapes 1
first 1
follows 1
for 1
forms 1
from 1
had 1
have 1
her 1
his 1
iii 1
in 3
instead 1
is 1
its 1
just 1
killed 1
king 1
life 1
lives 1
meeting 1
mystery 1
name 1
not 1
novel 3
of 3
page 1
part 1
prince 2
princes 1
prior 1
queen 1
questioning 1
reason 1
richard 2
sent 1
story 1
substitutes 1
the 12
through 1
to 4
tower 2
under 1
whether 1
who 1
with 2
young 1
