2186390
/m/06tc0y
/m/06tc0y
Gilbert Adair
1984
a 41
about 5
abruptly 1
across 1
afraid 2
after 13
air 1
alice 30
all 4
along 1
alphabet 1
alright 1
also 1
although 2
am 3
an 10
and 31
animals 3
apologizes 1
appearance 1
are 7
arent 1
argument 1
arrives 1
as 15
ask 1
asks 2
assumes 1
astack 1
at 5
attacked 1
attempt 1
attempts 2
attend 1
auction 1
autobiography 3
avail 1
awakes 2
away 3
back 2
backwards 1
band 1
battle 1
be 5
beach 1
because 2
bees 1
before 3
befriends 1
begin 2
begins 4
being 2
believe 1
believes 1
belonging 1
between 1
bloodthirsty 2
board 1
book 2
boomerang 1
boris 1
both 3
breed 1
brigands 2
bucket 1
bumps 1
busily 1
but 8
by 8
call 1
can 1
cannot 1
carry 1
cats 8
caused 1
centre 3
chapter 2
childish 1
climb 1
close 1
closer 1
cluster 1
comes 4
comet 1
coming 1
commands 1
complete 1
concludes 1
conclusion 1
confusing 1
congregation 1
consists 1
constantly 1
contemplates 1
continues 2
continuing 1
continuously 1
conversation 3
could 1
count 2
country 4
create 1
creatures 1
crocodile 1
cry 1
curiosity 1
cushioned 1
darkens 1
december 1
decides 2
dee 1
describes 1
despondency 1
detained 1
different 1
direction 1
disappointment 1
discover 1
discovers 2
discusses 1
discussion 3
dismay 1
distance 1
distant 1
do 1
does 2
dogs 1
dont 1
down 3
dream 2
drops 1
due 2
duel 2
each 2
eel 1
eels 2
eight 1
electric 1
elephant 5
elp 1
emerges 1
emu 2
end 3
entire 1
eventually 1
everyone 2
example 1
explain 1
explains 1
extremely 1
eye 1
f 1
fact 1
fail 1
fails 1
fall 1
falling 1
falls 1
far 1
feel 1
feels 1
few 2
figure 1
final 1
finally 3
find 2
finding 1
finds 1
finish 1
finishes 1
first 1
flying 1
follow 1
followed 1
following 1
follows 2
food 1
for 8
forget 1
forgetful 1
forgets 1
forwards 1
french 1
friends 1
frighten 2
from 5
get 2
giving 1
gliding 1
go 2
goes 1
going 1
goinggoinggone 1
gone 1
grampus 7
green 1
ground 1
had 5
hairdresser 3
has 2
have 4
haystack 3
he 15
hears 2
hedge 1
her 12
here 1
hereafter 2
herself 2
herthe 1
hideandseek 1
hill 2
him 2
his 4
hole 2
home 1
how 6
human 1
hundred 1
hurricane 2
i 11
identify 1
if 8
ii 1
ill 2
in 18
indeed 1
infinity 2
inform 1
informs 1
inquires 2
insects 1
instruct 1
intelligent 1
intention 1
interrupted 2
interrupts 1
into 6
is 17
it 13
italian 3
italics 1
its 2
ix 1
jack 4
jill 1
joined 1
just 1
know 1
knows 1
l 1
large 2
last 1
late 1
latter 1
lay 1
leading 1
leads 1
least 1
leaves 1
left 3
lefts 1
letter 2
like 2
lines 1
list 1
little 1
llabyrinth 1
llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch 1
logic 1
long 1
look 2
looks 1
luckily 1
makes 1
making 1
manner 1
many 1
maze 5
mazelike 1
me 1
meaning 1
meeting 2
meets 1
mentioned 1
mentions 2
mere 1
messy 1
middle 1
might 1
miss 1
mistakes 1
moment 1
more 1
mouse 5
much 2
must 3
name 2
naming 1
nature 1
near 1
need 1
needle 2
new 1
next 1
no 3
not 9
notes 1
now 1
nursery 1
obstacles 1
of 30
off 3
on 2
one 7
opens 1
or 7
other 3
others 1
out 8
over 1
overhears 1
paces 1
pang 5
parallel 1
park 1
past 1
peculiar 1
people 2
pie 1
pile 1
ping 4
place 4
pleasant 1
plot 1
poem 4
points 1
polite 1
possesses 1
previous 1
prompting 1
promptly 2
prompts 1
questions 1
quite 1
rabbit 2
race 1
rains 1
rather 3
reaches 1
reads 1
realize 1
realizes 3
really 2
rears 1
recalls 1
recite 2
recites 1
recognized 1
recovery 1
reduced 1
rendition 1
reply 1
rescues 1
retorting 1
return 1
returns 1
rhyme 2
ride 1
rights 1
room 1
rude 1
rudely 1
running 1
said 1
same 1
sands 1
say 2
says 1
scare 1
second 1
seconds 1
see 1
seeing 1
seemed 1
sees 1
sentences 1
sets 1
several 1
she 51
short 5
shower 1
siamese 3
siamesetwin 1
sideways 1
sign 3
signal 1
signs 1
simply 1
sky 1
sleep 1
small 1
so 2
sometimes 1
soon 3
spat 1
speaks 1
speech 2
speeches 1
spelling 1
spots 1
spotted 1
stands 1
starting 1
statement 1
states 3
step 1
stopped 1
story 1
stuck 1
study 1
such 2
suddenly 2
summerish 1
suppose 1
surely 2
surprised 1
swan 1
swept 2
tail 1
take 2
takes 1
taking 1
talking 1
test 1
than 1
that 27
the 98
their 8
them 5
then 6
they 13
things 2
this 5
thread 1
through 4
throw 1
thus 1
tick 1
tie 1
time 1
tired 1
to 46
too 2
towards 2
train 4
transforms 1
travel 1
traveling 1
tried 1
tries 1
turns 1
twenty 1
two 4
umbrella 1
unknowingly 1
unknown 1
until 1
up 3
upon 2
vanished 1
vanishes 1
ventures 1
very 1
volunteered 1
vote 5
walk 1
want 1
wanting 1
was 6
way 1
welsh 1
were 4
what 4
when 9
where 1
whereabouts 1
which 6
while 1
whiles 1
whimpers 1
who 2
why 2
will 2
with 7
within 4
without 1
word 2
words 3
world 2
would 1
writing 1
written 1
wrong 1
wrote 1
yet 1
yo 1
you 4
