15434217
/m/03m8y7j
/m/03m8y7j
Julia Golding
2006
18th 1
a 6
abhorring 1
about 1
after 1
again 1
against 1
an 1
and 11
are 3
aristocratic 1
around 1
arrest 1
arrives 2
as 9
at 1
beat 1
been 1
being 2
billy 1
biting 1
blackmails 1
board 1
boarding 1
bow 2
boy 2
bringing 1
british 1
bullied 1
but 6
by 4
called 1
cant 1
cat 10
caught 1
century 1
charlie 1
chased 1
clever 1
comes 1
coming 1
common 1
decoy 1
disguising 1
duchess 1
england 1
enters 1
equaino 1
fencing 1
fight 1
finally 1
find 1
finds 2
fine 1
first 1
following 1
for 5
frank 3
free 1
freedom 1
friends 2
furious 1
gang 2
girls 1
has 2
hawkins 6
he 5
held 1
help 1
her 5
herself 1
his 3
home 1
illegal 1
immediately 1
in 4
indies 1
inform 1
into 1
is 11
just 1
late 1
latin 1
learns 1
like 1
lizzie 2
london 3
looking 1
magistrate 1
master 1
meanwhile 1
medallion 1
more 1
mr 7
never 1
no 1
not 1
of 3
old 1
on 1
once 2
one 1
out 1
owner 1
pedro 7
plantation 1
police 1
pretty 1
proof 1
properties 1
realises 1
reclaim 1
rescue 1
return 1
richmond 2
rises 1
ruled 1
runners 2
safe 1
sail 1
sasuages 1
school 1
secure 1
set 1
setting 2
she 5
shepherd 1
slave 1
slavery 2
son 1
soon 1
still 2
street 2
syd 2
take 1
taught 1
taunted 1
that 2
the 11
then 1
they 1
things 2
thwarted 1
to 7
tries 1
trouble 2
try 1
up 1
vows 1
wants 1
west 1
when 3
where 2
with 4
without 1
