7386932
/m/026045m
/m/026045m
Patrick White
1970
{"/m/04fqp": "K\u00fcnstlerroman", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
adopt 1
adoptive 1
after 1
and 6
are 2
artistic 1
assisted 1
australian 1
becomes 1
beholden 1
born 1
brings 1
by 2
causes 1
child 1
closer 1
companion 1
continues 1
courtneys 1
daughter 1
davenport 1
demand 1
don 1
drawn 1
duffield 1
even 1
family 1
famous 1
final 2
finally 1
first 1
for 1
from 1
gain 1
gains 1
godthe 1
great 1
greek 1
he 3
heiress 1
hero 1
him 2
his 7
however 1
huge 1
hunchbacked 1
hurtle 2
in 2
inspiration 1
into 1
is 5
kathy 1
lethbridge 1
life 1
live 1
love 1
magnum 1
maman 1
minister 1
mistress 1
monetary 1
mother 1
nance 1
nobody 1
olivia 1
opus 1
out 1
paintings 1
paralysis 1
partial 1
pavloussi 1
poor 1
precocious 1
prime 1
prodigy 1
produce 1
prostitute 1
protoge 1
real 1
rhoda 3
seeking 1
sister 1
spartan 1
status 1
stroke 1
surrounds 1
that 1
the 8
their 1
they 1
this 1
to 6
unimpressed 1
vivisector 1
volkov 1
wealthy 2
who 2
world 1
years 1
