210518
/m/01dx2g
/m/01dx2g
Tom Clancy

{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 12
accidentally 1
advantage 1
after 2
aftermath 1
against 2
agent 1
airliner 1
an 3
and 8
answering 1
appreciation 1
arabia 3
are 1
as 2
assassinate 1
assassinated 1
assistance 1
attack 2
attacking 1
attacks 1
attacksmdashincluding 1
ayatollah 2
becomes 1
becoming 1
being 1
bid 1
both 1
brewing 1
by 5
cannot 1
challenge 2
charges 1
chavez 1
china 1
chinese 1
clark 1
combined 1
conclusion 1
conference 1
contain 1
countries 1
court 1
crises 1
crisis 1
daryaei 3
deadly 1
deals 1
debt 1
deceased 1
declares 2
defeated 1
destruction 1
ding 1
down 1
during 1
east 1
ebola 2
ed 1
effectively 1
effort 1
election 1
enforces 1
every 1
executive 1
extradited 1
face 1
fails 1
figure 1
firepower 1
following 2
for 3
forces 1
former 1
from 2
geneticallyenhanced 1
grows 1
haji 1
hardships 1
he 1
himself 1
his 1
honor 1
house 2
however 1
in 7
indian 1
into 2
invasion 1
iranian 1
iranianbacked 1
iraq 2
is 4
islamic 1
it 1
its 1
jack 1
john 1
judicial 1
kealty 2
kuwait 2
launch 1
launching 1
law 1
left 1
legislative 1
legitimacy 2
limited 1
mahmoud 1
makes 1
martial 1
meanwhile 1
middle 1
minutes 1
nearly 1
nuclear 1
of 15
office 1
on 3
only 1
power 1
president 8
press 2
question 1
reconstituting 1
release 1
reporter 1
represent 1
republic 1
residence 1
responsible 1
restrictions 1
result 1
room 1
ryan 8
saudi 3
says 1
seek 1
senate 1
sends 1
series 1
shoots 1
showing 1
since 1
so 1
soon 1
spread 1
states 3
status 1
strainmdashthe 1
strike 1
success 1
superpower 1
sworn 1
tactical 1
taiwanese 1
takes 1
tehran 1
televised 1
terrorist 1
that 1
the 33
then 1
those 1
threatens 1
tide 1
to 10
travel 1
turns 1
two 1
uir 6
unelected 1
united 4
unites 1
unless 1
unopposed 1
us 2
vacuum 1
various 1
vice 2
virtually 1
virus 2
war 2
when 1
white 1
will 1
with 4
