8593597
/m/02796rj
/m/02796rj
Brian Jacques
2007-10-04
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
3 1
a 20
abbey 4
abbot 1
able 1
about 1
adder 2
after 4
agrees 1
already 1
amazing 1
ambitious 1
an 4
and 44
annhilalated 1
another 1
appears 1
are 4
army 2
as 3
asheye 7
ashore 1
asio 3
at 2
atrata 1
attack 1
attempt 1
autumn 2
baby 2
badger 4
badgers 1
badgerwhich 1
band 1
barbowla 2
bardwing 1
be 2
beast 2
because 2
becomes 1
been 1
before 1
beforehand 1
befriends 1
being 2
believed 1
besiege 1
besieging 1
bilger 1
bloodwrath 1
bludgullet 3
boulderdogs 1
bringing 1
bronrats 1
brother 2
brownrats 8
burned 1
but 3
by 9
called 1
captain 1
capture 1
captured 5
captures 1
celebration 1
celebrations 1
chase 1
cheer 1
codj 5
cold 1
comes 1
company 1
composed 1
confusion 1
conquer 1
control 1
crew 5
dangerous 1
daucus 1
decides 2
demise 1
depart 1
desert 1
destroyed 1
die 1
dies 1
disappears 1
disguise 1
disguised 1
down 1
dream 1
dreamed 1
due 1
during 2
easily 1
egg 1
encounter 1
encounters 2
entrance 1
escape 3
escapes 2
escaping 1
eulalia 1
events 1
expelled 1
fails 1
faints 1
far 2
farmhouse 3
fat 1
father 1
feast 1
fight 1
find 4
finds 3
five 1
follow 1
for 2
fox 1
frees 1
friend 1
friends 1
from 3
furious 1
gain 1
gets 1
gives 1
go 1
goes 1
going 1
gorath 22
grandparents 2
gruntan 2
guard 1
guosim 7
had 3
harrowing 1
has 5
have 3
havens 1
he 17
headed 1
healer 1
hedgehog 1
her 4
herself 1
him 10
himself 3
his 15
holt 1
hon 1
horde 1
hordes 1
however 8
ill 1
in 10
inhabitants 1
inside 1
into 1
is 9
isles 2
it 3
join 2
joined 1
jungo 1
just 2
kidnapped 1
kill 2
killed 4
killing 1
kills 7
knowing 1
kurdly 3
later 1
lead 1
leading 2
leave 1
leaves 1
legendary 1
lizards 2
local 1
locked 1
logalog 2
logboats 1
lonely 1
longlost 1
longtooth 1
lord 5
luck 1
luglug 4
made 1
magger 2
magic 1
major 1
martin 2
maudie 13
mean 2
meanwhile 3
meeting 1
melutar 1
mentor 1
met 1
middle 1
midst 1
missing 1
moss 1
mossflower 1
mugsberry 1
mullein 1
murderer 1
must 1
named 3
near 1
new 1
news 1
no 1
north 1
northern 2
of 18
officer 1
on 4
only 1
ordered 2
orders 2
orkwil 10
osbil 2
other 1
otter 1
out 3
overpower 1
owl 1
peace 1
plateau 3
plummets 1
plunder 1
prink 1
process 1
prophecy 1
pursues 1
quickly 1
raiders 2
rangval 7
rather 1
rations 1
realize 1
realizes 3
reappears 1
recognizes 1
recruit 1
redwall 7
redwallers 2
renamed 1
rescue 1
rescued 1
rescuing 1
restless 1
return 1
returns 2
revenge 1
river 1
rob 1
rogue 1
rorc 1
round 1
sad 1
sail 2
salamandastron 4
salixa 4
sand 2
scheme 1
scouts 1
sea 4
search 1
seen 1
sends 1
series 1
set 1
setting 1
ship 1
shrew 2
shrews 2
sights 1
simply 1
sings 1
sister 1
skipper 1
so 1
son 1
song 2
soon 6
south 1
starves 1
stealing 1
steals 1
stoats 1
stranding 1
stringle 1
succeed 1
suddenly 1
supplies 1
surrounded 1
swamp 1
swan 1
swears 2
sweeps 1
sword 4
tabura 4
tagged 1
take 1
takes 1
taking 1
taunting 1
than 1
that 8
the 75
them 6
then 3
there 1
they 11
thief 1
thieving 1
thinking 1
this 2
thropple 1
through 1
title 1
to 32
top 1
trapped 2
tricks 1
tried 1
trouble 1
troublemaker 1
tunnel 1
turns 1
two 3
unknown 1
up 2
vermin 8
vizka 17
vole 4
wanted 2
wanting 1
wants 1
war 1
warned 1
was 2
watching 1
watervole 1
way 1
weaselthe 1
were 5
when 6
where 3
which 1
who 4
wholl 1
will 1
winds 1
with 5
without 1
wood 1
worm 1
would 1
yik 3
young 1
