14687010
/m/03gt30t
/m/03gt30t
Philip Pullman
1995-11-02
a 4
against 1
all 2
an 1
and 6
are 2
as 3
aspirant 1
at 2
become 1
been 1
being 1
believes 1
brought 1
called 1
caretaker 1
chulak 2
competition 1
courage 2
daughter 1
deliver 1
despite 2
disagrees 1
disappearance 1
do 1
does 2
elephant 1
emerald 1
explains 1
extremely 1
father 2
festival 1
firefiend 2
firework 3
fireworkmaker 1
fireworkmakers 1
fireworkmaking 1
flames 1
for 5
fortune 1
friends 2
from 2
get 1
gifts 4
girl 1
girls 1
goddess 1
good 1
hamlet 4
has 4
have 1
having 3
her 7
his 2
home 1
however 1
imprisoned 1
in 1
is 2
job 1
journey 1
journeys 1
lake 1
lalchand 5
learns 1
lies 1
life 1
like 1
lila 5
loyal 1
luck 1
maker 1
makers 1
manage 1
many 1
merapi 1
mount 1
must 2
nearly 1
not 1
objects 1
of 5
or 1
other 1
possess 1
present 1
protect 1
protection 1
quest 1
rather 1
razvani 3
recognizes 1
return 1
royal 1
save 1
she 5
sulphur 1
surprise 1
talent 2
talented 1
talents 1
talking 1
tangible 1
than 1
that 3
the 14
their 1
they 1
this 1
three 4
to 8
unaware 1
undertaken 1
unsuccessful 1
unsuitable 1
upcoming 1
upon 2
victory 1
wants 1
water 1
what 1
which 2
white 1
who 1
will 1
win 1
with 1
worked 1
years 1
young 1
