5769275
/m/0f3nw6
/m/0f3nw6
Beverly Cleary

a 4
accidentally 1
after 2
allen 1
also 1
always 1
amuse 1
and 10
angered 1
antics 1
arrives 1
as 2
at 1
austine 11
back 1
become 1
becomes 1
beet 1
begins 2
best 2
book 2
both 2
bring 1
broom 1
by 3
cannot 2
chalkboard 1
change 1
chapter 1
chapters 1
chooses 1
class 3
classmate 1
clean 1
closet 1
comes 1
continues 1
culprit 1
dance 1
day 3
deal 1
decide 1
doesnt 1
down 1
dreaded 2
dress 5
dresses 1
during 1
efforts 2
ellen 11
end 1
erasers 1
everyone 1
final 1
finally 1
first 1
firstever 1
for 4
friend 1
friends 1
friendship 1
gets 1
giant 1
girl 1
girls 3
go 1
goes 1
going 1
had 1
heads 2
her 10
herself 1
horseback 1
however 1
identical 1
ignore 1
ignores 1
in 9
innocent 1
irritated 1
is 3
it 1
klickitat 1
learning 1
line 2
lives 1
looks 1
lunch 2
made 1
make 1
mend 1
mother 2
mothers 2
new 1
of 3
on 9
opens 1
oregon 1
other 3
otis 4
out 1
outside 1
parents 1
plan 1
portland 1
pulled 1
put 1
riding 1
rips 1
run 1
sash 3
school 2
secret 1
see 1
sew 1
she 4
showandtell 1
slapping 1
slaps 1
so 3
soon 1
spending 1
spofford 1
street 1
studio 1
summer 1
teacher 1
tears 1
teasing 1
tebbits 1
terrible 1
that 4
the 17
their 5
them 2
they 1
thinks 1
thirdgrader 1
this 1
time 2
to 11
tugging 1
turn 1
twins 1
two 1
underwear 3
undone 1
unfortunately 1
up 2
vacation 1
walks 1
was 2
wear 1
wearing 2
well 1
when 3
who 4
with 4
woolen 2
yanks 1
