2661844
/m/07w576
/m/07w576
Tim O'Brien
1994
{"/m/02n4kr": "Mystery", "/m/098tmk": "War novel", "/m/02xlf": "Fiction"}
a 21
abortion 1
absence 1
absorbed 1
abused 1
act 1
advent 1
affair 1
after 6
afterwards 2
alcoholic 1
although 1
an 1
and 18
are 2
area 1
argue 1
around 1
as 5
at 3
authorities 1
aware 2
baby 1
back 1
be 2
became 2
because 1
become 1
becoming 1
bed 1
bedroom 1
been 3
begins 1
boat 5
body 1
boil 1
boiling 2
book 1
bought 1
branches 1
businessoriented 1
but 3
by 5
cabin 1
call 1
called 2
calm 1
campaign 1
carbo 1
career 1
carried 1
channeled 1
charlie 1
child 2
childhood 1
children 1
claude 2
climbing 1
closest 1
college 1
company 2
constantly 1
continuously 1
conversed 1
course 1
day 1
days 1
death 2
decision 1
deeply 1
demeanor 1
dentist 1
deployed 1
desk 1
despite 2
devastated 1
disappearance 1
disappearing 1
discovering 1
disoriented 1
down 1
drink 1
drowned 1
during 1
effort 2
efforts 1
eighteen 1
emotionally 1
ending 1
erased 1
event 1
events 1
evidence 1
face 1
father 4
few 1
flashbacks 1
for 4
frequently 1
frightened 1
from 2
future 1
gone 1
governor 1
great 2
grief 1
guillotine 1
had 7
happy 1
has 1
have 5
having 1
he 6
heads 1
heats 1
her 7
him 1
his 13
hit 1
hopelessly 1
household 1
identity 1
in 8
inconclusive 1
instead 1
intimate 1
into 4
introduces 2
investigation 1
involved 1
involvement 1
irritates 1
is 5
it 1
jesus 1
job 1
john 24
join 1
joins 1
just 1
karra 1
kathy 11
kettle 1
kill 1
lai 1
lake 5
landslide 1
last 2
later 3
leaves 1
leaving 1
letters 1
lieutenant 1
life 1
loss 1
lost 1
magic 3
main 1
managed 1
many 1
massacre 2
maybe 1
met 1
might 1
minimart 1
minnesota 1
misnavigated 1
morning 1
my 1
nature 1
neighbors 1
nevertheless 1
new 1
next 1
night 1
noninvolvement 1
north 1
number 2
numerous 1
obrien 3
of 23
off 2
often 2
on 3
one 2
only 1
or 2
organize 1
other 2
out 2
over 5
party 2
past 1
patch 1
perfect 1
perhaps 1
person 1
persona 1
pieces 1
planned 1
plants 1
please 1
point 1
possibly 1
poured 1
pours 1
preparing 1
pretend 1
problematic 1
purchased 1
quickly 1
radio 1
ran 1
rasmussens 1
reader 1
readers 1
reallife 1
reciting 1
records 1
referred 1
remembers 1
reminiscent 2
returned 1
revelation 1
rocks 1
rough 1
run 1
scalding 1
search 5
secretive 1
secrets 1
seemed 1
seems 1
senate 1
she 4
sheriff 1
significant 1
sister 1
some 2
sorcerer 2
sped 1
spied 1
start 1
story 2
storyline 1
studio 1
sunk 1
supplies 2
support 1
suspicious 1
talk 1
talks 1
tea 1
tell 1
that 1
the 43
their 1
them 1
theories 2
these 1
they 3
things 1
this 1
through 1
time 1
to 20
tony 1
too 1
took 1
tossed 1
trick 1
tries 1
troubled 1
truest 1
up 3
us 1
vacation 1
verbally 1
vietnam 2
village 1
violently 1
visited 1
wade 2
wakes 1
walking 1
was 6
water 4
way 1
weighed 1
well 1
when 1
where 2
which 4
while 1
whom 1
wife 1
wilderness 1
wish 1
with 7
woods 1
working 1
would 3
years 1
