14063233
/m/03csdrt
/m/03csdrt
Kim Newman
1992
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 26
abducted 1
able 1
about 1
agendas 1
an 7
and 21
annoyed 1
antivampire 3
anywhere 1
appear 1
are 4
arrogance 1
as 4
associates 1
at 6
attending 1
attention 1
away 1
barely 1
be 4
beauregard 16
become 4
becomes 4
becoming 1
been 1
before 2
being 4
believes 1
bemused 1
bernard 1
bests 1
betrayed 1
between 2
bloodline 1
body 1
born 1
both 1
britain 2
british 1
brought 2
bully 1
but 1
by 10
calls 1
cannot 2
care 1
carpathian 1
carroll 1
changes 1
charged 1
charles 1
christian 1
climbing 1
clinic 3
closer 1
club 4
collaborate 1
combat 1
come 1
complimentary 1
concludes 1
confrontation 1
confronts 1
contaminated 1
continued 1
control 1
conversion 1
count 1
country 1
crime 1
crown 1
custody 1
days 1
decisively 1
demands 1
depriving 1
destroy 2
destroyed 5
destruction 1
dies 1
dieudonn 12
differing 1
diogenes 4
direct 1
discuss 1
dissenters 1
distinguishing 1
doctor 2
does 1
domination 1
down 1
dr 1
dracula 14
dravot 4
drawing 1
drive 1
during 1
each 1
early 1
elder 1
elite 1
encounter 1
encounters 1
enemy 1
entangled 2
escalate 1
escaping 1
eventually 1
fabricated 1
failing 1
fascination 1
few 1
fiance 2
fiancee 1
fight 1
finally 1
find 1
finding 3
first 1
flee 1
for 4
forcing 1
found 1
friend 1
from 4
george 1
get 1
gilbert 1
gives 1
go 1
godalming 2
government 1
great 1
group 2
growing 1
hand 1
happened 1
harker 2
has 6
have 1
having 3
he 11
helsing 1
henchmen 2
her 5
herself 1
him 5
his 6
house 1
however 2
hysteria 1
i 1
ideas 1
impaled 1
impatient 1
imperfectly 1
implication 1
imposing 1
imprisoned 1
in 17
including 1
increasing 1
increasingly 2
independently 1
infatuated 1
information 1
injury 1
inquest 1
inside 1
interrupted 1
intimates 1
is 20
it 2
jack 6
jailed 1
jekyll 1
john 1
jonathan 1
kill 1
killed 1
killer 1
killing 2
knife 1
knowing 1
lack 1
lacking 1
large 1
leader 2
leaping 1
leave 1
leaving 1
legally 1
lestrade 1
lewis 1
linenbsp 1
locals 1
london 3
lost 1
lover 2
lovers 1
lucy 1
lustfully 1
made 1
man 1
marriage 1
married 1
matters 1
may 2
meager 1
means 1
meant 1
meantime 1
member 1
men 2
mina 2
monster 1
morris 1
murdered 3
mysterious 2
new 1
not 2
notes 1
now 2
number 1
observing 1
of 21
old 2
on 3
one 6
only 1
opens 1
opinion 1
or 1
organized 1
out 1
own 1
painted 1
past 1
people 1
perhaps 1
period 1
periodically 1
perspective 1
physician 1
police 1
precludes 1
preparations 1
priority 1
produces 1
progress 1
prominent 1
prostitute 3
prostitutes 1
provides 1
pub 1
public 2
pursuing 1
puzzled 1
queen 4
quincey 1
race 1
reach 1
react 1
realize 1
realizes 1
rebellion 1
recalls 1
recently 1
recognized 2
reflects 1
renfield 1
reporting 1
represents 1
resulted 1
resulting 1
revealed 1
riffraff 1
rift 1
right 1
riot 1
riots 1
ripper 6
rippers 1
rule 1
ruling 1
run 1
ruthlessly 1
s 1
safety 1
same 1
satisfactory 1
saved 1
scotland 2
sergeant 1
set 1
sets 1
seward 9
shady 1
shape 1
shaw 1
she 4
shot 1
sick 1
signs 1
silver 1
similar 1
social 2
soundly 1
state 1
stops 1
story 2
strikes 1
strong 1
summons 1
support 1
sustained 1
symbols 1
take 1
takeover 1
that 8
the 47
their 4
them 1
then 1
there 2
they 3
this 2
throughout 1
thus 1
to 18
tong 1
tool 1
tosses 1
treated 1
trial 1
trouble 1
truce 1
trusting 1
turns 1
twice 1
two 1
understanding 1
unwanted 1
used 1
ushering 1
vampire 12
vampires 4
vampirism 1
van 1
victoria 3
w 1
well 1
welladvanced 1
were 2
what 1
when 2
where 3
which 2
while 1
who 3
will 1
with 12
without 2
work 1
world 2
yard 2
