14560682
/m/03d7ys7
/m/03d7ys7
Lin Carter
1976-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
15 1
a 26
abandongetting 1
able 1
aboard 1
accepts 1
accompanies 1
according 1
accounts 1
advances 2
advancing 1
after 3
again 1
against 1
aircraft 3
alive 1
allowing 1
allows 1
almost 3
along 1
also 3
am 1
amazons 1
an 4
and 50
animation 1
announces 1
another 2
anything 1
approaching 1
archers 1
are 8
arjala 1
arms 2
arrive 1
arrived 1
arrow 1
as 15
aside 2
asks 1
asleep 1
at 6
attack 4
attempts 2
author 1
awakened 1
away 2
back 2
backwhich 1
barbarian 1
basewhich 1
battle 1
be 5
becomes 1
bedand 1
been 1
before 3
being 2
believes 1
blood 1
blue 1
blunt 1
boasts 1
body 2
bodyallowing 1
bodyto 1
boles 1
bow 1
bows 1
brain 3
branch 4
break 1
broken 1
built 1
bulkhead 1
but 8
by 16
can 3
cannot 1
captive 3
captures 1
caught 1
chains 3
chestheld 1
chief 1
cities 2
claws 3
clawsand 1
close 1
cockpit 1
come 2
comes 3
companions 1
compartment 1
conducteda 1
continue 1
craft 2
creating 1
cries 1
crippled 1
damage 1
danger 1
dead 1
death 1
decides 1
dejected 1
delgan 10
designconstruction 1
destroy 3
destroyedand 1
destroys 1
detached 1
detected 1
determines 1
die 1
dieand 1
directs 1
disconnected 2
discover 1
do 4
does 1
down 1
drunk 1
due 5
dwarf 1
earthly 2
emissary 1
energises 1
enslave 1
enslaves 1
enter 1
entered 1
escape 1
eventually 3
except 1
exhaustion 1
experiments 3
expiring 1
explains 1
exploit 1
explores 1
eye 1
eyes 1
facing 1
failed 1
fails 1
faints 1
fall 1
falling 1
falls 1
faster 1
fear 1
feast 1
feeling 1
female 1
figures 1
finally 1
find 3
finds 3
flat 1
flees 1
flings 1
flower 1
fly 1
following 1
fooddrink 1
for 7
forces 3
forward 3
forwardmost 1
four 1
free 1
freed 1
friend 1
friendly 1
friendship 1
from 10
frontal 1
further 2
gangup 1
get 1
giant 2
girl 1
girls 1
goes 1
grabs 1
green 1
grief 1
grinning 1
group 1
guard 1
guarding 1
guards 1
had 2
hand 1
happened 1
has 9
have 1
he 20
head 5
heads 2
held 1
help 1
her 16
him 14
himmauling 1
his 16
hit 1
honeymoon 1
horde 3
horror 1
host 2
human 1
hurry 1
i 1
immortality 1
in 18
including 1
insect 1
inside 1
inspection 1
instructions 1
intellect 1
inthe 1
into 4
invade 1
investigate 1
iona 3
is 13
it 15
items 1
its 3
