986
/m/0ldx
/m/0ldx
Albert Camus
1947
{"/m/02m4t": "Existentialism", "/m/02xlf": "Fiction", "/m/0pym5": "Absurdist fiction", "/m/05hgj": "Novel"}
30 1
80 1
a 21
about 2
accept 1
act 1
action 1
activity 1
actor 1
addresses 1
admire 1
advance 1
affect 1
affects 1
after 3
afterward 1
again 1
all 2
allowed 1
also 3
an 9
and 38
another 1
antiplague 1
apartment 1
apparent 1
approach 2
appropriate 1
are 13
armed 1
arrested 2
arrives 1
as 9
ashamed 1
at 3
attempt 1
attend 1
authorities 4
away 1
basis 1
because 2
becomes 3
beds 1
befriends 1
begin 3
begins 3
being 2
believe 1
bernard 1
both 1
break 1
bubonic 1
building 2
burials 1
burn 1
but 13
by 7
calls 1
camp 1
camps 1
can 1
cannot 1
cases 1
castel 2
catalyst 1
catches 1
causing 1
celebrate 1
ceremony 1
chance 1
changes 1
character 3
characters 1
child 1
christian 1
chronicle 1
circumstances 1
cities 1
citizens 2
city 5
civil 1
collapses 1
colleague 1
collection 2
come 1
comfortably 1
communicating 1
concern 1
concierge 1
conclusion 2
condition 1
conducted 1
confidante 1
conform 1
congregation 1
connected 1
consults 1
continue 1
continues 1
contracts 1
control 1
corpses 1
cottard 5
country 1
cremation 1
criminal 1
criminals 1
curfew 1
daily 2
danger 1
days 2
dead 1
dealings 1
death 3
deaths 3
deceased 1
decides 2
declared 1
declaring 1
decline 1
deny 1
depleted 1
depresses 1
desperate 1
despise 1
despite 1
despondent 1
develops 1
devises 1
diatribe 1
die 1
dies 3
disease 2
dismissed 1
distressed 1
divided 1
do 3
doctors 1
does 1
done 1
downplays 1
dr 5
droves 1
during 2
ears 1
either 1
elects 1
emergency 1
emotionally 1
employees 1
enacting 1
end 1
ending 2
ends 1
endure 1
enough 2
ensue 1
epidemic 5
escape 5
eurydice 1
events 1
eventually 1
everybody 1
everything 3
exhaustively 1
exile 1
existing 1
faces 1
faith 1
falls 1
families 1
family 1
fatal 1
father 1
fearful 1
february 1
feel 3
feelings 2
fellow 1
fever 1
few 1
fight 2
fighting 1
filled 1
finally 2
first 1
five 1
flees 1
flourish 1
for 3
friends 1
from 8
full 1
funerals 1
gates 3
give 1
gives 2
gluck 1
go 1
god 1
goes 1
government 1
grand 4
greatly 1
group 1
hand 1
hardens 1
has 3
have 2
he 15
hears 1
heart 1
help 1
heroic 1
him 6
himself 1
his 17
home 1
homes 2
horror 1
hospital 2
however 2
humans 1
hysteria 1
if 1
ill 1
illness 1
imminent 1
imposing 1
in 17
incident 1
including 2
increasing 1
informs 1
inhabitants 1
initially 1
innocent 1
instructs 1
into 1
introverted 1
is 23
isolated 1
isolation 1
it 5
its 1
itself 1
january 1
jean 1
join 2
joined 1
joseph 1
jumps 1
language 1
late 1
law 1
leave 1
leaving 1
left 1
less 1
life 2
lines 1
little 1
lives 1
local 1
look 1
looting 1
loved 2
lover 1
m 2
mad 1
mail 1
main 1
major 1
make 1
makes 1
many 1
martial 1
may 1
means 1
meanwhile 1
measures 2
meet 1
men 1
mercy 1
michel 1
midaugust 1
mind 1
more 6
narrator 1
nature 1
new 1
newspapers 1
no 1
normal 1
not 5
notices 1
number 1
objective 1
october 2
of 39
off 1
official 1
officially 1
officials 1
on 7
one 3
ones 2
only 3
open 1
opened 1
opening 1
opera 1
opportunity 1
optimistic 1
or 2
oran 1
order 1
orpheus 2
other 2
others 2
othon 5
out 2
outbreak 1
outside 2
over 1
paneloux 4
papers 1
paris 1
parts 1
passively 1
patients 1
people 3
performance 2
period 1
physically 1
plague 19
plan 2
populace 1
portraying 1
possible 1
posted 1
prefect 1
present 1
pressure 1
problem 1
profited 1
prohibited 1
proves 1
public 1
punishing 1
quarantine 1
quarantined 1
quibble 1
quickly 1
rail 1
rambert 6
rats 2
raymond 1
reaches 1
recovery 1
reflects 1
refuse 1
regarding 1
religion 1
remains 1
remorseful 1
report 1
request 1
requires 1
reserves 1
respond 1
responding 1
restricted 1
retreat 1
reunited 2
reveals 1
rieux 12
rise 1
same 1
sanatorium 1
save 1
saying 1
says 1
scale 1
sea 1
sealed 2
second 1
see 1
seems 1
sense 1
sentence 1
sentries 1
separated 1
separation 2
september 1
serious 1
seriousness 1
sermon 2
serum 2
servant 1
service 1
shady 1
shoots 1
short 1
shot 1
shut 1
since 2
sinful 1
situation 3
slow 1
small 1
smuggle 1
smuggler 1
so 3
some 2
son 2
soon 1
special 1
speed 1
spirit 1
spread 1
start 1
stature 1
stay 2
still 1
story 1
strangely 1
streets 1
strictly 1
struggle 2
suffering 1
suffers 1
suggesting 1
suicide 1
supervised 1
supply 1
suspended 1
sweeping 1
swimming 1
sympathetic 1
symptoms 2
take 1
taken 2
tarrou 9
telegrams 1
telephone 1
tells 2
test 1
text 1
than 1
that 13
the 102
their 4
then 1
theory 1
there 3
they 6
this 1
those 1
thousands 1
three 1
time 1
to 40
together 1
toll 1
towards 1
town 13
townspeople 2
travel 1
treat 2
tried 2
try 1
turned 1
two 2
unaware 1
under 1
unexpected 1
unnoticed 1
until 1
up 1
urgent 1
urges 1
use 1
used 1
uses 1
vacationer 1
various 1
victims 1
view 1
violence 1
visit 1
volunteer 1
volunteers 1
ward 1
was 2
waste 1
wealthy 1
well 1
when 4
where 1
which 1
who 4
whom 1
wife 3
will 1
with 5
within 1
work 1
working 1
worsen 1
worsening 1
would 2
yet 1
young 1
