3679490
/m/09v1j5
/m/09v1j5
Frank Norris
1899
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10000 1
2010 1
400 1
5000 4
a 9
abandons 1
accumulates 1
admire 1
after 1
aggravated 1
all 1
alone 2
along 1
already 1
amounting 1
and 26
animals 1
announces 1
apparently 1
are 4
arid 1
ark 1
arm 1
around 1
as 3
aside 1
at 1
authorities 1
away 1
be 1
beats 1
become 1
becomes 4
bed 1
been 2
before 3
best 1
between 1
bit 1
breaks 1
brings 1
but 1
by 3
call 1
can 1
carving 1
catastrophe 1
catching 1
celebration 1
characters 1
cheated 1
city 1
claims 1
clear 1
coins 1
come 1
community 1
company 1
completely 1
corpse 1
couple 2
courting 1
cousin 1
death 3
debarred 1
declared 1
degree 1
dental 2
dentist 2
dentistry 1
desert 1
desolate 1
destitute 1
deteriorates 2
dies 1
discovers 1
domestic 1
doomed 1
dramatic 1
each 2
earnings 1
earns 1
ensuing 1
entire 1
even 1
eventually 1
falls 1
family 2
fight 2
figures 1
final 1
finally 1
firm 1
first 1
food 1
for 5
forced 1
francisco 2
friend 1
friends 1
friendship 1
from 8
give 1
goes 1
gold 2
graciously 1
grips 1
had 2
hall 1
handcuffed 1
handcuffs 1
handle 1
happy 1
has 5
have 2
he 15
heads 1
hears 1
helpless 1
her 12
him 3
himself 1
his 7
hoard 1
hunt 1
if 1
image 1
immense 1
in 13
income 1
infatuated 1
informing 1
insists 1
intellect 1
intending 1
into 1
investment 1
invests 1
is 8
it 1
jealous 1
joins 1
kills 1
kissed 1
leaves 1
leaving 2
left 2
license 1
life 1
limited 1
live 1
locked 1
loses 1
lost 1
lottery 1
love 1
mac 4
made 1
makes 1
marcus 12
marriage 1
married 1
marry 1
mcteague 22
mcteagues 1
meanwhile 2
men 1
mexico 1
middle 1
miner 1
mining 1
miserly 1
money 4
more 4
mother 1
move 2
mrs 2
murder 1
must 1
name 1
never 1
no 1
noah 1
novel 2
of 16
on 4
once 2
one 2
only 1
opened 1
or 2
other 2
out 2
over 3
parlor 1
parsimonious 1
part 1
pennypinched 1
physical 1
place 1
point 1
polk 1
poor 1
poorer 1
practice 2
practising 1
prevails 1
principal 2
prior 1
proves 1
pursuit 1
quarters 1
rancher 1
recovers 1
refuses 2
remaining 1
rest 1
returns 1
revealed 1
revenge 1
rightfully 1
rolling 1
room 1
roughly 1
sale 1
san 2
savings 2
schouler 1
secretly 1
sensing 1
she 9
shop 2
shortly 1
sieppe 3
simply 1
small 2
so 1
south 2
spell 1
spreading 1
steps 1
stranded 1
street 1
strength 1
strikes 1
successfully 1
successively 1
taken 1
takes 3
teeth 1
than 1
that 9
the 27
their 2
them 2
they 1
though 1
ticket 1
time 1
to 13
together 1
touch 1
towards 1
trina 13
trunk 1
two 1
uncle 3
under 1
until 1
valley 2
values 1
violent 1
visits 1
waste 1
water 1
way 1
when 4
which 1
while 1
whisky 1
who 1
whom 2
wife 1
winnings 1
with 5
withdraws 1
won 1
wooden 1
woos 1
work 1
working 1
would 1
years 1
