2684487
/m/07xvcj
/m/07xvcj
Kate Tremayne
2003-03-03
{"/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
a 1
actress 1
adam 1
affair 1
also 1
america 1
an 1
and 2
arrival 1
arrives 1
as 1
at 1
bad 1
be 1
been 1
begins 1
but 2
by 2
cant 1
celestine 2
cleared 1
continues 1
cornwall 1
daughter 1
debts 1
determined 1
dies 1
dog 1
down 1
druce 1
edward 1
elsewhere 1
england 1
for 2
forced 1
fortune 1
fortunes 1
gwendolyn 2
has 2
have 1
he 3
her 2
highway 1
him 2
his 7
how 1
if 1
illegitimate 1
immense 1
in 1
is 4
japhet 3
john 1
leave 1
leaves 1
left 1
london 2
love 1
loveday 4
loves 1
meanwhile 1
meriel 1
much 1
murder 1
no 1
not 1
of 5
on 1
one 1
peace 1
pegasus 1
puts 1
realises 1
relationship 1
robbery 1
scandal 1
sea 1
seek 1
settle 1
she 2
ship 1
shocked 1
spurned 1
st 1
still 2
strain 1
tamasine 1
that 1
the 5
then 1
there 1
to 6
treacherous 1
trial 1
trifled 1
turns 1
under 1
until 1
when 1
who 1
wife 2
will 1
with 3
woman 1
yorke 2
