20034995
/m/04y9thq
/m/04y9thq
Edward Einhorn
1999
{"/m/01hmnh": "Fantasy"}
a 14
absurd 1
accidentally 1
actually 1
advisers 1
against 1
aging 2
all 1
altered 1
amazingly 1
amby 1
among 1
an 2
and 18
antiaging 1
are 3
around 2
as 1
at 3
attempt 1
baby 1
back 2
backwards 3
beak 1
beard 1
beautiful 1
becomes 1
before 1
being 1
black 1
blue 1
body 1
book 1
bright 1
brown 1
but 2
by 1
called 1
calls 1
can 1
cannot 1
capable 1
changes 1
chopper 1
citizens 1
city 3
coexist 1
common 2
confront 3
confusions 1
consult 1
covered 1
creature 1
creatures 1
cryptic 1
curious 1
dark 1
darted 1
deal 1
different 1
discovered 1
dismayed 1
doing 1
dr 1
earlier 1
efforts 1
emerald 1
emerged 1
encounters 1
end 1
everyday 1
evil 1
explain 1
eyes 1
face 1
familiar 2
feathered 1
feathers 1
feet 1
figure 1
filled 1
find 2
finds 1
forbidden 2
forest 1
fountain 2
four 1
friends 1
from 3
front 1
glinda 4
great 1
green 2
had 1
hair 1
half 3
has 2
he 2
headsman 1
her 7
himself 2
his 1
hooved 1
human 1
impossible 1
in 10
inhabitants 1
into 1
invisible 1
is 6
it 3
its 4
journey 1
king 1
knows 1
large 2
learn 1
lives 4
living 1
long 1
loves 1
luxurious 1
magic 2
majestico 1
male 1
malevolent 1
man 2
mdash 1
meet 1
mindboggling 1
moment 1
more 2
must 3
mystery 1
negativeimage 1
nervously 1
nick 1
normally 1
nothing 1
noticing 1
novel 1
now 1
numerous 1
obsidian 1
of 8
old 1
omby 1
opens 1
orange 1
our 1
out 3
own 2
ox 1
oz 5
ozma 6
ozmas 1
palace 1
parrot 1
parrotox 3
parrotoxes 1
particular 1
past 2
person 2
place 1
plumage 1
predecessor 1
present 1
prevailed 1
problem 1
problems 1
proudly 1
puzzle 1
realize 1
records 1
red 1
references 1
reign 1
remedy 1
resolve 1
rested 1
restore 1
rides 1
room 1
ruled 1
self 1
she 6
signs 1
since 1
situation 1
so 1
soon 1
speckled 1
spell 1
stood 1
stopped 1
suddenly 1
surrounding 1
tail 1
take 1
takes 1
tempus 2
that 3
the 21
their 1
them 1
these 1
they 2
this 2
throughout 1
time 2
times 1
tin 1
tip 1
to 9
trips 1
trying 1
two 1
tyrannical 1
unless 1
unusual 1
upon 1
us 1
versions 1
very 1
was 2
which 2
while 1
white 1
who 2
why 1
wings 1
with 5
wizard 1
woodman 1
woods 1
working 1
world 1
worn 1
wrinkles 1
yellow 1
