32802608
/m/0h3shml
/m/0h3shml
Mary Norton
1959
a 8
about 1
actually 1
adrift 1
adventures 1
after 1
all 1
and 4
animal 2
are 3
arent 1
asked 1
away 1
be 1
because 2
been 1
before 1
begins 1
bell 1
best 1
big 1
bit 1
borrower 1
borrowers 4
boy 1
but 4
can 1
cannot 1
caught 1
causes 1
chances 1
clock 2
clocks 1
come 1
comes 1
decide 1
deciding 1
discovers 1
door 1
down 1
downstream 1
drains 2
during 1
eye 1
family 2
ferret 1
find 2
food 1
for 3
fordham 1
frightening 1
from 1
gets 1
go 2
goes 1
grim 1
gypsy 1
happened 1
has 5
he 3
hide 1
his 2
hope 1
house 2
human 1
in 4
investigates 1
is 3
it 2
just 1
kettle 3
know 1
leave 1
legend 1
lets 1
little 1
living 1
looking 1
lose 1
luckily 1
made 1
many 1
matter 1
might 1
mild 1
most 1
moving 1
named 1
nearly 1
need 1
never 1
none 1
not 1
of 7
on 2
one 1
or 1
out 1
outrun 1
outside 1
part 1
passage 1
people 1
period 1
pet 1
place 1
places 1
plenty 1
put 2
rain 1
realize 1
replica 1
residents 1
rest 1
returns 1
river 1
says 1
secret 1
series 1
size 1
some 2
spiller 5
starve 1
stay 1
still 2
stuck 1
such 1
swift 1
swim 1
tea 1
tells 1
that 6
the 24
their 1
them 7
there 1
they 7
things 1
third 1
this 1
through 1
time 1
to 5
told 1
tom 4
trapped 1
trash 1
uncle 1
underneath 1
via 1
village 2
visiting 1
waiting 1
weasel 1
what 1
when 1
where 1
which 1
while 3
who 1
whole 1
will 2
with 2
