11881016
/m/02rwlp3
/m/02rwlp3
Eoin Colfer
2007-10-02
200 1
2012 1
a 3
again 1
also 1
amount 1
and 2
appearances 1
arctic 1
as 4
balloons 1
book 7
brown 2
captain 1
character 2
code 1
contain 1
created 1
darker 1
described 2
does 1
each 1
eternity 1
exactly 1
fact 1
facts 1
firstperson 1
for 3
graphic 3
hair 1
holly 1
in 7
incident 1
is 3
longer 1
many 1
minor 1
modifications 2
most 1
not 2
notably 1
noted 1
novel 3
of 3
opposed 1
plot 2
reddish 1
release 1
released 1
same 4
second 1
series 1
set 1
short 1
showing 1
some 2
story 1
than 1
that 3
the 19
there 1
third 1
though 1
to 2
was 2
were 2
with 1
word 1
