5787848
/m/0f4l14
/m/0f4l14
Lucius Shepard
1987
11 1
8 1
a 14
abilities 1
account 1
afghanistan 1
after 1
ai 1
american 2
among 1
an 4
and 14
another 1
antagonists 1
are 1
army 1
artillery 1
as 11
assembled 1
at 1
author 1
aviv 1
become 2
been 1
before 3
behind 1
blatantly 1
boarding 1
bookend 1
by 1
cantina 1
central 1
centuries 1
city 2
clear 1
close 1
clues 1
cocaine 1
cold 1
collection 1
combining 1
counter 1
culminates 1
darin 1
david 2
debora 4
deciding 1
designated 1
destroyed 1
destruction 1
dick 1
diversity 1
does 1
downed 1
drug 1
durante 1
during 1
each 1
elite 1
embroiled 1
essential 1
esvida 1
excerpted 1
experiences 1
fall 1
families 1
feels 1
fiction 1
fictional 1
fictive 1
firefight 1
first 1
for 3
foreshadowing 1
former 2
free 1
friends 1
front 1
frost 1
function 1
genetic 1
get 1
gives 1
goes 1
gradually 1
group 1
guatemala 1
guerra 1
guided 1
hallucination 1
happened 1
has 2
heard 1
helicopter 1
him 1
himself 1
his 6
hone 1
house 1
however 1
humanity 1
identified 1
imparts 1
in 12
increase 1
intense 2
intensive 1
intervention 1
into 1
is 5
item 1
itself 2
journey 1
juan 1
k 1
la 1
later 1
learns 1
leave 2
led 1
life 1
longrange 1
love 1
lovers 1
lyrics 1
made 1
madradonas 2
make 1
manipulated 1
manipulation 1
matters 1
meet 1
meeting 1
meets 1
members 2
mental 2
mind 1
mingolla 12
missile 1
named 1
nature 1
nearfuture 1
nod 1
not 2
novel 3
novela 1
nuclear 2
objective 1
occupied 1
of 13
on 4
one 2
only 1
or 4
other 1
over 1
own 2
pain 1
panama 2
panamanian 1
part 2
pastorn 1
person 1
philip 1
place 1
point 2
potential 2
presence 1
present 1
probing 1
prowler 1
psicorps 3
psychic 2
psychics 1
published 1
recruited 1
references 1
refine 1
revelation 1
revolt 1
sammy 1
samurai 1
science 1
serve 1
serves 1
serving 1
several 2
short 2
sikorsky 1
soon 1
sotomayors 2
soviet 1
specialist 1
squad 1
states 2
stimulant 1
story 1
sung 1
superaddictive 1
target 1
tel 1
text 1
that 5
the 24
their 4
them 1
thenfuture 1
therapy 1
they 2
third 1
this 4
thought 1
three 1
through 1
times 2
to 11
training 1
truly 1
two 1
type 1
ultimately 1
union 1
unit 2
united 2
use 1
ussr 1
version 1
veteran 1
view 1
war 3
wartime 1
was 1
way 1
weapon 1
well 4
what 3
which 2
with 2
woman 1
work 2
