3046091
/m/03bx91p
/m/03bx91p
Ed Burns
1997-09-02
a 6
actual 1
addict 2
addiction 1
also 1
although 1
an 4
and 5
around 2
as 2
at 2
baltimore 1
begins 1
being 1
book 3
boyd 1
burns 1
centers 1
city 1
corner 1
covers 1
deandre 1
drug 5
drugs 2
effects 1
events 1
examination 1
exwife 1
factors 1
fayette 2
following 1
fran 1
gary 1
high 1
his 1
in 2
inner 1
interviewing 1
is 2
it 2
life 1
like 1
lived 1
lives 1
look 1
market 1
mccullough 2
modern 1
monroe 2
mostly 1
names 1
neighborhood 1
nonfiction 1
novel 1
of 5
on 3
over 1
people 2
real 1
recounts 1
school 1
sell 1
simon 1
sociological 1
son 1
spent 1
streets 1
student 1
the 13
their 1
those 1
to 1
trade 2
underlie 1
urban 1
uses 1
war 1
well 1
which 1
who 2
written 1
year 2
