22443499
/m/05zx4qg
/m/05zx4qg
Edith Pargeter
1985-06-20
1141 1
5 1
a 36
abbey 13
abbeys 1
abbot 1
abbott 2
about 3
absent 1
accepted 1
accepts 1
accident 1
accompanied 1
accuse 1
across 1
acting 1
actions 1
adam 5
addressed 1
advance 2
advances 1
afire 1
after 8
afterwards 1
again 2
ago 1
agrees 2
aid 1
air 1
albans 1
aline 4
alive 2
all 3
alliance 1
allies 1
allowed 1
allowing 1
ally 1
alone 4
along 2
among 1
amount 1
an 4
and 56
andover 1
angered 1
another 1
anything 1
approached 1
approval 1
are 1
armies 1
army 3
around 3
arrange 1
arranged 1
arrives 4
as 12
ask 1
asked 1
asks 8
assist 1
assistance 2
at 32
attempt 1
august 1
authority 1
aware 1
back 2
battle 1
be 12
become 1
been 3
befallen 1
before 2
being 2
benedictine 1
beringar 6
besieged 2
best 1
betrothed 1
between 2
birthday 1
bishop 3
blois 1
body 1
book 1
born 2
both 1
breaks 1
brings 1
broken 2
brother 29
brothers 1
brought 2
building 1
burnt 1
business 1
but 9
by 19
cadfael 28
called 1
can 1
cannot 2
canny 1
care 2
carried 1
case 1
castle 2
cell 1
ceremony 1
chain 5
charged 1
children 1
choice 1
churches 1
city 2
civil 1
claimed 1
claims 2
clashes 1
clearly 2
cloister 1
come 1
comes 1
commitment 1
common 1
communication 1
companion 1
concludes 1
confession 1
confront 1
consent 1
continues 1
convent 2
conversation 1
cot 2
council 1
country 1
cousin 1
cross 1
cruce 6
crusades 4
custody 1
cut 1
damage 1
daughter 1
dawn 1
day 2
days 4
dead 2
deal 1
death 2
deaths 1
deceptions 1
decides 1
decision 1
dedicated 1
deep 1
denies 2
depth 1
describe 1
described 1
describes 1
desire 1
despair 1
detail 1
devotion 1
did 2
die 1
died 3
dies 1
disappearance 1
disappeared 2
disappointed 1
disaster 1
discover 1
discovers 1
discussing 1
dispatched 1
distinctive 1
distress 1
do 3
does 2
done 1
doubt 1
down 1
dressed 1
drew 1
earlier 1
early 2
edmund 1
else 1
empress 7
engagement 3
england 1
enlisting 1
enter 1
escaped 2
escort 1
escorted 2
estates 1
everything 1
evidence 1
exchanged 1
expectation 1
expected 1
expert 1
explanation 1
explore 1
extra 1
face 1
facing 1
fact 2
failed 1
fails 1
failure 1
faithful 1
falling 1
family 2
father 2
fathering 1
fears 1
fetch 1
few 1
fidelis 26
fidelisjulian 1
fighting 2
find 2
findings 1
finds 5
finger 1
finishing 1
fired 1
first 2
fitting 1
fitzrobert 1
for 25
forces 4
ford 1
forester 1
formally 1
fortunes 1
four 1
friend 3
from 17
front 1
funeral 1
furious 1
future 1
gain 1
gained 1
gains 1
gift 2
giles 1
given 1
gives 2
gladly 1
glance 1
gloucester 2
god 1
godfrid 8
godric 1
godson 1
graduated 1
gratitude 1
great 1
grew 1
grieving 1
guesses 1
guided 1
had 8
half 1
handing 1
hangs 1
happy 1
harnage 1
has 13
have 7
having 2
he 24
heads 1
hears 1
heavy 1
held 2
help 1
henry 1
her 26
heriet 21
hide 1
him 16
himself 1
hints 1
his 46
holds 1
home 6
honest 1
honor 2
hoping 1
horses 1
hot 1
hours 1
house 1
how 3
huge 1
hugh 22
humilis 35
humilisgodfrid 1
humphrey 1
hydemead 1
if 4
ill 3
important 1
impressed 1
imprisoned 2
in 36
incapable 1
including 2
infirmary 1
informs 2
inside 1
intense 1
interrogation 1
interrupts 1
into 2
is 28
it 9
items 1
jeweller 2
jewellery 2
joined 3
journey 6
joyous 1
julian 28
just 4
keens 1
keep 1
killing 1
kindness 1
king 5
knew 1
knock 1
know 2
knowledge 1
lady 5
lai 1
laid 2
lamp 1
land 1
last 5
later 3
law 1
leading 1
learn 2
learned 1
learns 1
leave 2
leaves 4
left 3
leg 1
legatine 1
lends 1
leper 1
let 1
lets 1
letter 4
lie 1
lies 1
life 1
lightning 1
likely 2
line 1
list 1
lived 2
loans 1
local 1
long 1
longtime 1
lord 1
lost 1
love 1
made 1
madog 6
magdalene 4
make 1
makes 3
making 1
man 6
manor 8
many 2
marching 1
marescot 1
marriage 5
mass 1
matilda 1
matrimony 1
maud 2
may 2
meant 1
meet 4
meeting 2
memory 1
men 6
merchant 2
merchantmen 1
met 1
might 1
mile 2
military 1
mill 1
mistaken 1
moment 1
monastery 2
money 1
monk 2
monks 1
month 2
more 4
morning 1
most 1
motives 1
mourn 1
move 1
murder 1
must 1
mute 1
muteness 1
mysterious 1
near 1
nearby 1
neck 4
neighbors 1
never 1
news 12
next 2
nicholas 28
night 1
no 5
nobleman 1
none 1
north 1
not 4
notes 3
novel 1
novice 3
now 5
nun 1
nunnery 2
nuns 1
of 68
off 1
offer 1
old 5
older 1
on 15
once 1
one 7
only 2
open 1
order 1
orders 1
oswin 1
other 2
ought 1
out 5
overhears 1
own 3
owned 1
pain 3
part 1
past 1
paul 1
perfect 1
permission 1
person 1
persuades 1
peter 1
pieces 1
pillow 1
place 1
plan 1
plans 1
playing 1
pleased 1
point 1
polesworth 1
possession 1
postpone 1
praises 1
prayer 1
pressed 1
pretend 1
prioress 1
priory 2
proceed 1
proceeds 1
promise 1
proposal 1
propose 1
protect 1
publicly 1
pulls 1
pursue 1
pursued 1
pursuit 1
put 1
queen 5
question 2
questions 1
quickly 1
quoting 1
radulfus 1
rain 2
rather 2
reached 1
reaches 1
reads 1
realised 1
realising 1
realizes 1
rebuilding 1
recall 1
recalls 3
received 1
recently 1
recognises 1
reconsider 1
recounts 3
recruits 1
reeling 1
reflects 2
refuge 1
refugees 1
regain 1
reginald 8
regrets 1
rejected 1
rejection 1
rejects 2
relating 1
released 1
relieve 1
remember 1
rendered 1
repeatedly 1
repentant 1
reputation 1
request 1
rest 1
restitution 1
retribution 1
return 2
returned 4
returning 1
returns 4
reveal 1
revive 1
reviving 1
rhun 9
right 1
ring 7
ripping 1
risky 1
river 6
road 1
robbing 1
robert 2
rochester 1
romantic 1
romsey 1
room 1
rout 2
rushes 1
safe 1
safely 1
said 3
saint 2
sake 1
same 2
saw 4
says 4
scandalous 1
scattered 1
scattering 1
scene 1
scheme 1
search 3
secret 2
see 3
seek 2
seeks 1
seems 1
seen 1
sees 2
sent 2
september 1
servant 1
servants 1
serve 1
service 1
setting 1
severity 1
sexual 1
shares 1
she 15
sheriff 3
shire 1
shore 1
should 1
shrewsbury 10
shropshire 1
side 2
siege 2
since 4
sister 6
sixteen 1
sized 1
skiff 2
slim 1
small 1
so 2
sold 1
soldiers 1
solemnization 1
some 1
someone 1
something 1
soon 2
sopwell 1
sorrow 1
sorrowfully 1
southern 1
spared 1
speak 1
speaks 2
spread 1
st 2
stalemate 1
stephen 4
still 1
stockbridge 2
stores 1
storm 4
story 3
streets 1
strongest 1
study 1
stunned 1
sturdily 1
suggests 2
sunny 1
sunset 1
supply 1
support 1
surprising 1
surviving 1
taken 4
takes 2
taking 4
talk 1
tell 3
tells 6
tenanted 1
tends 1
term 1
than 2
that 29
the 177
their 2
them 6
then 5
there 2
they 6
thinks 1
this 5
though 1
thought 1
threatening 1
threatens 1
three 8
thus 2
time 6
to 98
told 1
tonsure 2
took 2
touched 1
towards 2
town 2
trace 2
transaction 1
transept 1
travel 1
travelled 1
treating 1
tries 1
troubled 1
troubles 1
