1401871
/m/04zpwx
/m/04zpwx
Bolesław Prus

{"/m/0hwxm": "Historical novel"}
22yearold 1
a 9
adamant 1
adherents 1
adorn 1
adversities 1
after 1
against 1
aid 1
all 1
allies 1
along 1
also 1
amon 2
an 3
ancient 4
and 25
appropriate 1
arable 1
archenemy 1
are 2
arrest 2
as 3
assyria 2
at 5
avert 1
backbone 1
becomes 1
becoming 1
been 1
before 1
beginning 1
begins 1
betray 1
between 1
bildungsroman 1
blocked 1
brilliant 1
brow 1
bureaucracy 1
but 2
by 6
came 1
campaign 1
careful 1
caused 1
century 1
chaff 1
challenges 1
character 1
chasm 1
christ 1
chronicle 1
civilization 1
classes 1
closes 2
combines 1
commander 1
comprises 1
conflicting 1
country 7
course 1
craftsmen 1
crown 1
crucial 1
crush 1
cycle 1
decline 2
declined 2
deeply 1
demise 1
denouementthe 1
deserts 1
destroy 1
discarded 1
downfall 1
drawn 1
dynasty 1
each 1
eg 1
egypt 6
egyptian 8
eight 1
elements 1
eleventh 1
elites 1
emulating 1
encounters 1
end 1
ends 1
entering 1
epilogue 1
eroding 1
especially 1
eternally 2
eventual 1
ever 1
evergrowing 1
evolves 1
exacerbated 1
expense 1
experiencing 1
exploits 1
faces 1
facing 1
fall 1
fate 1
features 1
fell 1
finance 1
fondness 1
for 2
forces 1
foreign 1
from 3
future 1
genres 1
geography 1
goods 1
great 1
greek 1
growing 1
grown 1
had 4
hand 1
hands 1
has 2
have 1
having 1
he 4
herhor 3
hierarchy 1
high 3
himself 1
his 11
historical 1
hopes 1
hostage 1
idleness 1
immensely 1
impatience 1
implementation 1
imported 1
in 8
inadvertently 1
including 1
indebted 1
industries 1
instinctively 1
interbraided 1
interests 1
internal 1
international 1
intrigue 1
introduction 1
invading 1
is 10
it 3
its 2
kingdom 1
knowledge 2
known 1
labyrinth 2
land 1
late 1
lead 1
libyans 1
lie 1
life 2
lightning 1
like 1
line 1
listen 1
literary 1
living 2
luxury 1
made 1
memorable 1
mendicant 1
menes 1
mentor 1
merchants 1
military 2
million 1
moments 1
monopolists 1
monuments 1
more 2
mourns 1
much 1
mummification 1
must 1
myths 1
narrative 1
native 1
new 1
north 1
novel 8
number 1
numbers 1
obscurantism 1
obtain 1
of 32
on 4
one 2
opening 1
openings 1
opponents 1
opposition 1
or 2
other 1
over 2
own 2
paradoxically 1
path 1
peasants 1
pentuer 3
peoples 1
peril 1
period 1
persia 1
pharaoh 3
phoenician 1
phoenicians 1
piece 1
planned 2
plans 1
play 1
plot 1
poetic 1
political 3
polity 2
populace 1
population 1
power 1
powers 1
practices 1
priest 5
priesthood 4
priestly 2
priests 2
prince 1
principals 1
private 1
prominence 1
prospective 1
protagonist 1
proves 1
prus 3
raising 1
ramses 13
reflects 1
reform 1
reforms 2
relates 1
reveal 1
rises 1
rising 1
risked 1
rituals 2
ruling 2
sage 1
same 1
save 1
says 1
scientific 1
seasons 1
seized 1
semamenherhor 1
sensation 1
several 1
six 1
social 2
son 2
song 1
standing 1
statement 1
still 1
stored 1
strands 1
strategy 1
study 1
style 1
subordinate 1
subsequently 1
succeeded 1
succeeding 1
sun 2
techniques 1
teenage 1
that 7
the 83
their 1
this 1
throne 3
through 1
time 1
to 20
too 1
tragedy 1
traits 1
treasure 1
treasures 1
twentieth 1
ultimate 1
underestimation 1
undermining 1
unity 1
up 1
uraeus 1
use 1
utopian 1
very 1
viability 1
viceroy 1
victorious 1
virtual 1
wage 1
war 2
was 1
wealthy 1
what 1
when 2
which 1
who 3
whose 1
will 2
win 2
with 5
written 1
xiii 2
