2215489
/m/06wl1x
/m/06wl1x
Edward Irving Wortis
1991
{"/m/03mfnf": "Young adult literature"}
a 14
about 3
academy 2
accomplished 1
additional 1
against 2
albert 1
allowed 1
also 1
although 1
an 2
and 12
another 1
anthem 3
any 1
apparent 1
are 1
as 6
asks 1
assistant 1
at 3
avi 1
aware 1
ballot 1
become 1
being 1
between 1
blame 1
board 1
book 1
breaks 1
budget 1
bureaucracy 1
but 3
by 5
campaign 1
causes 1
class 3
commentary 1
confessing 1
contain 2
context 1
conversations 2
crying 1
d 1
deal 1
defensive 1
detail 1
different 1
discrepancy 1
disregard 1
distortion 1
distractions 1
doane 1
documentary 1
does 2
doing 1
dont 1
down 1
dr 4
elements 1
encourage 1
end 2
english 1
eventually 1
facts 2
flaws 1
flooded 1
floridawhen 1
for 7
forcing 1
from 1
fully 1
gertrude 1
given 1
going 1
grade 1
great 1
griffen 2
griffin 1
halftruth 1
hampshire 1
harrison 2
has 3
have 1
he 5
her 3
high 1
him 1
his 6
how 2
i 1
in 11
instead 1
interest 1
interested 1
interviewing 1
involvement 1
is 19
issue 1
it 2
its 1
jennifer 1
joseph 2
know 1
lead 1
lettersdiaryand 1
level 1
levels 1
local 1
longer 1
makes 1
malloy 2
many 1
margaret 1
memo 1
memos 1
miss 6
moves 1
mr 3
ms 1
much 1
narwin 8
national 4
neighbor 1
new 2
newswire 1
ninthgrader 1
no 1
nonnarrative 1
not 6
nothing 1
novel 3
of 12
on 3
only 1
or 1
ostracized 1
out 2
palleni 2
paper 1
parents 1
patriotic 1
peers 1
people 1
philip 7
phillip 1
phone 1
picked 1
pieces 1
policy 1
poorly 1
pretends 1
principal 3
protect 1
providing 1
pulls 1
putting 1
radio 1
reader 1
real 1
received 1
removal 1
reporter 1
respond 1
retire 1
return 1
revealed 2
running 1
runs 1
said 1
same 1
school 8
sequential 1
seymour 1
short 1
since 1
singing 2
sister 1
sources 2
statement 1
station 1
stewart 1
story 4
storyline 1
student 1
style 1
subject 1
such 2
superintendent 2
support 2
suspended 2
suspension 1
talks 1
teacher 3
team 3
telegrams 1
tell 1
that 4
the 34
theme 1
themselves 1
then 1
there 1
these 3
they 1
this 1
through 3
throughout 1
to 11
together 1
track 3
trackobsessed 1
transfers 1
tries 1
truth 4
try 1
trying 1
unaware 1
unique 1
until 1
up 1
used 1
verifies 1
very 1
vice 1
was 5
washington 2
well 1
which 3
who 5
will 1
willingness 1
with 3
without 1
words 1
