11066254
/m/02qzv_b
/m/02qzv_b
Christine Feehan

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
a 7
ability 1
accompanied 1
aidan 1
all 1
amongst 1
an 2
and 6
arrival 1
as 1
ashes 1
assassins 1
attack 1
band 2
be 1
beautiful 1
because 1
believing 1
bind 1
blood 2
bloodspattered 1
bodies 1
bright 1
brother 2
by 3
carpathian 2
cats 1
colour 1
colours 1
come 1
common 1
counter 1
courts 1
darius 1
dark 1
dawn 1
deciding 1
desari 5
destroy 1
destruction 1
discovery 1
down 1
each 1
effort 1
eight 1
emotions 1
enemy 1
escape 1
evenly 1
fanatical 1
fashion 1
find 1
finds 1
found 1
from 1
gathers 1
goal 1
gold 1
golden 1
good 1
greet 1
gunfire 1
had 1
hadnt 1
hauntingly 1
have 1
he 8
heals 1
hearing 1
her 4
him 1
his 10
however 1
huge 1
humans 1
hundred 1
hunt 1
hunting 2
hunts 1
in 8
including 1
instantly 1
instruments 1
into 2
is 2
julian 9
knew 1
large 2
last 1
leopard 1
leopards 1
life 1
lifelong 1
lifemate 2
light 1
loss 1
lying 1
makes 1
matched 1
meanwhile 1
members 1
men 1
mesmerized 1
mikhail 1
more 1
now 1
ocean 1
odds 1
of 8
off 1
older 1
on 2
other 1
out 1
over 1
own 1
panther 1
performing 1
prepared 1
prince 1
provides 1
puzzlement 1
reduces 1
return 1
revels 1
rings 1
ritual 1
rushes 1
savage 1
save 1
scatters 1
see 1
seemed 1
seen 1
sent 1
shapeshifts 1
she 1
singer 2
six 1
slaughtered 1
society 2
stage 1
strengths 1
strike 1
surprised 1
suspicion 1
task 1
test 1
that 1
the 17
them 2
these 1
this 1
three 1
throw 1
to 15
truce 1
turn 1
twin 1
two 3
under 1
uneasy 1
unfavourable 1
until 1
upon 1
vampire 3
vivid 1
voice 1
volume 1
warn 1
was 2
weak 1
were 1
while 2
with 2
wounds 1
years 1
young 1
