925819
/m/03qkk5
/m/03qkk5
David Lodge
1984
17 2
a 34
abandoned 1
about 6
academic 1
academically 1
accuses 1
acts 1
administration 1
adopted 1
adventure 1
affair 2
after 10
afterwards 1
again 1
agrees 1
airplane 2
airport 1
airways 1
akbil 1
akira 1
all 5
almost 1
along 1
also 1
america 1
american 1
amsterdam 1
an 10
and 37
angelica 15
angry 1
announces 2
another 2
anyway 1
appeared 1
april 1
are 5
around 5
arrives 2
arthur 3
as 10
ashamed 1
ask 1
asking 1
asks 1
association 1
at 16
attendant 1
attended 1
australian 1
author 1
averted 1
award 1
back 1
basically 1
be 2
beautiful 1
because 3
become 1
becomes 1
been 5
before 2
begin 2
begins 3
bills 1
boobies 1
book 5
boon 1
borak 1
breakfast 1
british 2
but 13
by 7
cambridge 1
can 1
candidate 1
capacity 1
card 1
catch 1
catches 1
chair 3
chance 1
changing 1
characteristic 1
characters 5
chase 2
checkin 1
cheryl 6
clerk 1
club 1
clue 1
college 1
completed 1
concluded 1
conference 9
conferences 1
continue 2
continues 2
contrary 1
convince 1
convinces 1
council 1
crash 2
crashed 1
credit 1
crisis 1
criticism 3
critics 1
cured 1
day 1
dead 1
declares 1
deconstructionism 2
defend 1
department 1
died 1
different 1
direct 1
directly 1
discovered 1
discovers 1
discussion 1
disease 1
do 1
does 1
doing 1
dream 1
dsire 1
dying 1
each 1
eliot 1
else 1
encounter 1
end 3
ends 1
english 2
enough 1
entire 1
especially 1
eve 1
evening 2
events 2
everyone 1
executive 1
exhaustion 1
experience 2
explains 1
exwife 1
faerie 1
failed 1
falls 1
father 1
fay 1
feels 1
few 1
fiancee 1
fictional 1
fictionalized 1
finally 1
find 1
finds 1
fired 1
first 3
flies 1
flight 1
follows 1
for 10
fortunes 1
forward 1
found 1
frobisher 2
from 4
frye 1
fulvia 1
furioso 1
generally 1
genre 1
german 1
get 1
going 1
gone 2
got 1
grail 2
greatest 1
had 4
happy 1
has 14
have 1
having 3
hawaii 1
hazlitt 1
he 17
head 1
hears 2
heathrow 2
helping 1
her 15
hero 2
herself 1
high 1
him 9
himself 2
hindering 1
his 9
home 1
hong 1
hotel 2
howard 1
however 2
husband 1
i 1
ideas 1
identical 1
if 1
ii 1
iii 1
ill 1
immediately 1
important 2
impotence 1
in 27
incident 1
infatuated 1
innocent 1
inspired 1
instead 1
interest 1
interview 1
interviewed 2
into 2
introduced 2
introduces 1
invitation 1
ireland 1
irishman 1
is 23
it 3
italian 1
itself 2
iv 1
japanese 1
jerusalem 2
job 1
join 1
joy 5
joyous 1
kidnapped 1
kidnapping 1
kind 1
kingfisher 5
kisses 1
klm 1
knight 1
knights 2
knows 1
kong 1
language 1
last 1
later 3
le 1
leads 1
learn 1
learns 1
leave 2
leaves 1
leftwing 1
legionnaires 1
like 1
lily 4
limerick 1
limited 1
line 1
literary 3
long 1
longer 1
look 1
looks 1
love 4
loves 3
made 1
maiden 4
make 1
manages 1
master 1
mcgarrigle 3
meeting 3
meets 2
mental 1
met 1
might 1
mile 1
mills 1
mistakenly 1
modern 1
moment 2
money 1
moon 1
more 1
morgan 1
morgana 3
morris 4
most 1
mother 1
move 2
movement 1
movies 2
much 1
muffed 1
multiple 1
mystery 1
name 1
narrative 1
narrow 1
never 2
new 5
newspaper 1
night 1
no 5
northrop 1
not 5
novel 4
novelist 1
novels 2
now 1
of 21
offer 1
official 3
often 2
on 6
one 7
only 3
opinions 1
or 1
orgasm 2
orlando 1
other 2
others 1
oversees 1
pabst 1
panel 1
panic 1
paper 2
parkinson 1
part 4
passed 1
people 2
percival 1
person 1
persse 23
peter 2
philip 4
phillip 1
physical 2
place 1
places 1
plagiarism 1
plane 4
plans 1
plays 1
plotting 1
point 2
pornographic 2
prepare 1
present 1
presents 1
pressure 1
previous 1
professes 1
professor 4
psychosomatically 1
published 1
pursue 1
queene 1
quest 1
question 3
raised 1
read 2
reading 3
realizes 1
recently 1
recovers 1
reference 3
referencing 1
reflects 1
reinvented 1
released 1
rest 1
result 1
retired 1
returned 1
reveals 1
right 4
ringbaum 1
rises 1
rodney 1
role 2
romance 4
romances 3
romantic 1
ronald 2
room 1
rudyard 1
rummidge 2
runs 1
s 1
said 1
sakazaki 1
same 2
saying 2
scholar 1
see 2
seeing 1
sees 3
sent 1
several 1
sexual 1
shaken 1
she 17
should 1
showing 1
sibyl 1
siegfried 2
since 1
sister 1
sleep 1
slept 1
small 4
so 1
solved 1
some 1
someone 2
son 2
soon 1
sooner 3
speaking 1
spent 1
stamina 1
steps 1
stops 1
stripper 1
structure 1
submitted 1
such 4
summerbee 3
swallow 11
sybil 4
t 1
takes 3
talk 2
talking 1
teaches 1
telling 1
tells 3
ten 1
than 3
that 20
the 66
their 3
thelma 1
there 4
thesis 1
they 6
think 1
thinks 1
this 6
thought 1
threads 1
through 2
throws 1
time 5
to 37
tokyo 1
took 1
translating 1
travel 2
travelling 1
trying 3
turkey 1
turkish 1
turpitz 4
twin 3
underground 1
unesco 2
unfinished 1
university 2
unpublished 1
up 4
uproar 1
v 1
very 1
visit 1
von 4
wainright 1
wanted 1
was 6
washroom 1
went 1
were 1
what 4
when 2
where 5
which 2
who 6
whom 1
whose 1
wife 4
will 1
william 1
win 1
with 13
without 1
woman 4
won 1
wondering 1
worked 1
works 1
world 6
wrap 1
write 2
year 1
years 2
york 1
you 1
young 1
zapp 11
zone 2
