15673480
/m/03np9dx
/m/03np9dx
Bill Pronzini

{"/m/01jfsb": "Thriller", "/m/0c3351": "Suspense"}
a 4
about 2
after 1
alone 1
and 4
arizona 1
arrives 1
at 2
be 3
but 2
called 1
came 1
car 2
coming 1
cook 1
daughter 1
desert 1
deserts 1
destination 1
diner 4
dressed 1
earl 2
explained 1
find 1
food 1
for 1
frank 2
got 1
guns 1
happen 1
he 1
him 1
his 4
in 2
instead 1
into 1
jack 2
karen 1
later 1
love 1
man 1
men 2
named 1
not 2
of 1
on 1
out 1
people 1
place 2
prepare 1
protagonist 1
pulled 1
quiet 1
rob 1
shortly 1
story 1
take 1
takes 1
that 2
the 12
them 1
there 2
they 1
thinking 1
through 1
to 6
two 2
unexpectedly 1
waitress 1
walks 1
warm 1
was 1
well 1
were 1
what 1
which 1
will 3
would 1
