13574873
/m/03c9v6x
/m/03c9v6x
Joe Keenan
1991
a 5
abilities 1
acting 1
advance 1
agents 1
and 11
another 1
archrival 1
are 4
as 1
at 2
be 2
become 1
before 1
betraying 1
billionaire 2
boyd 1
breaking 1
broadway 1
but 2
by 1
cant 1
career 1
careers 1
carry 1
caught 1
champion 2
chances 1
claire 2
competing 1
could 1
daddy 1
destroy 1
dont 1
doubleagents 1
doubledouble 1
dreams 1
efforts 2
elsa 2
employer 1
fame 1
fast 1
favors 1
financial 1
flopped 1
for 2
gilbert 4
gofer 1
gone 1
good 1
hand 1
have 3
helping 1
her 2
hired 1
his 3
homosexual 1
hoping 1
household 1
if 2
insert 1
into 1
is 3
it 2
just 1
larkin 2
latest 1
launch 1
leads 1
long 1
look 1
make 1
man 1
manage 1
needs 1
nonetheless 1
nonexistent 1
not 2
of 2
off 2
on 2
one 1
onto 1
other 1
out 1
own 1
parker 2
peter 2
philip 4
pull 2
right 1
scheme 1
seeking 1
sexual 1
singing 1
snagging 1
songwriting 1
soon 1
spy 1
spying 1
suddenly 1
sugar 1
team 1
that 1
the 6
their 4
them 1
they 3
theyll 1
to 7
tommy 2
track 1
tripleagents 1
tune 1
turns 1
unfortunately 1
unnoticed 1
wants 1
wealthiest 1
well 1
when 1
which 1
who 1
wife 1
will 1
world 1
