2769039
/m/081knj
/m/081knj
Troy Denning

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
66 1
a 9
abilities 1
aboard 1
about 1
absent 1
ackbar 1
admiral 1
after 2
again 4
against 1
agree 1
alema 2
all 5
allana 2
alliance 2
along 1
amidala 1
an 1
anakin 1
and 27
another 1
answers 1
anyone 1
apprentice 2
are 2
as 8
aside 1
asked 1
attempt 1
back 4
banks 1
be 3
beasts 1
because 1
becomes 2
before 1
begins 1
behind 1
being 1
best 1
biological 1
bomb 4
briefly 1
bring 1
business 1
but 2
by 2
c3po 1
cakhmaim 1
called 1
can 1
cannot 1
captured 1
carrying 1
caught 1
chiss 6
cilghal 1
colony 1
come 1
conclave 1
conclude 1
conflict 1
confronts 1
consider 1
considered 1
contact 1
convincing 1
crisis 2
danni 2
dark 2
darth 1
daughter 1
defeat 1
delivers 1
depicted 1
deployed 1
destroy 1
detonate 1
dictating 1
did 1
disappears 1
discover 1
dissembling 1
dissipates 1
djo 1
does 1
dont 1
doubt 2
duel 2
duties 1
else 1
emerge 1
emerges 1
end 2
engages 1
enough 1
entire 1
episode 1
eradicate 1
ever 1
except 1
explains 1
explore 1
exterminate 1
failed 1
family 2
father 1
fight 1
fighting 1
fights 1
final 2
find 1
foil 1
fold 1
following 1
for 2
from 7
further 1
galactic 2
galaxy 1
go 2
gorog 2
grand 2
group 1
had 1
han 2
hapan 1
happen 1
happens 1
harmless 1
has 2
he 7
heart 1
helps 1
her 2
herself 1
him 2
his 6
hive 2
holovid 1
how 1
i 3
iii 1
in 10
including 1
infantry 1
into 3
intrigued 1
involved 1
is 5
its 1
jacen 3
jae 1
jaina 4
jaws 1
jedi 13
jungle 1
just 1
juun 1
ka 3
kill 2
killik 3
killiks 6
killing 1
knight 1
know 1
knows 1
last 1
leader 1
leadership 1
leia 5
life 1
lightsaber 1
likes 1
living 1
lomi 5
lowbacca 1
luke 8
made 1
major 1
make 1
manages 1
manipulate 1
master 3
meant 1
meewalh 1
memory 1
mind 4
mission 1
more 1
mother 2
much 1
must 1
mysteries 1
nest 2
neutralizing 1
never 1
new 2
no 1
normal 1
nothingness 1
now 4
of 20
old 1
on 9
once 2
one 3
only 1
order 6
ossus 2
out 1
overall 1
own 2
padme 1
part 1
peacetime 1
planet 4
plo 6
priority 1
promoted 1
purge 1
purges 1
quee 1
queen 1
quit 1
r2d2 2
race 1
rar 1
raynar 1
recordings 1
regions 1
renounce 1
replies 1
responsibility 1
rest 1
returns 1
revenge 1
saba 2
scenes 2
scientist 1
sebatyne 3
sectors 1
sekot 1
send 1
servants 1
she 1
should 1
similar 1
sith 1
skywalker 2
snevu 2
so 3
solo 1
speaks 1
star 1
story 1
succeed 1
swarm 3
tahiri 1
tarfang 1
tell 1
temple 1
tenel 3
tenupe 4
tesar 1
that 8
the 58
their 5
them 2
then 1
there 2
they 3
this 3
throughout 1
thul 1
thus 1
to 23
too 1
top 1
traveling 1
travels 1
trilogy 1
try 2
ultimatum 1
under 1
unknown 1
unuthul 4
vader 1
vaporize 1
veila 1
victorious 1
wants 1
war 3
wars 1
was 2
watch 1
watching 2
way 1
what 1
when 1
where 2
which 2
while 3
who 3
wife 1
will 2
wish 1
with 7
within 1
wont 1
world 2
would 1
zekk 4
zonama 1
