13893938
/m/03nmz_j
/m/03nmz_j
Rosemary Sutcliff
1958
{"/m/0hwxm": "Historical novel"}
00 1
a 10
about 1
accepted 1
age 1
all 1
allowed 1
although 1
and 4
apparently 2
arm 1
as 4
attacks 2
attempt 2
badly 1
bc 1
be 2
become 1
becoming 1
being 1
bites 1
blood 1
boy 1
britain 1
bronze 1
brother 1
but 1
by 2
candidates 1
cannot 1
ceremony 1
cloth 1
contemplates 1
crippled 1
die 1
doli 1
doomed 1
dreams 1
drem 3
during 1
face 1
fact 1
fail 1
failed 2
family 1
farm 1
farmer 1
first 3
flock 1
for 3
friend 2
goes 1
had 1
hand 1
has 4
he 12
help 1
him 2
himself 1
his 9
however 2
in 3
initiation 1
injured 1
intervene 1
involves 1
is 6
it 3
kill 2
killing 2
kills 1
knocked 1
legitimate 1
life 1
lives 1
manhood 1
mark 1
meaning 1
name 1
named 1
nearly 1
never 1
next 1
nor 1
of 6
old 2
on 3
only 1
out 1
overcome 1
own 1
pass 1
passed 1
place 1
rather 1
record 1
removing 2
reserved 1
rest 1
same 1
scarlet 1
scars 1
shame 1
sheep 3
should 1
slaying 2
so 1
still 1
suicide 1
survives 1
telling 1
terrifying 1
test 2
than 1
that 2
the 20
this 1
through 1
to 4
tribe 1
visible 1
void 1
vortrix 2
warrior 3
warriors 1
watches 1
wear 1
when 1
which 1
will 2
winter 1
with 1
wolf 6
year 1
young 1
