6653640
/m/0gg6j9
/m/0gg6j9
Erich Segal
1986
156 1
158 2
25th 1
6 1
a 31
abandonment 1
acceptance 1
achieves 1
addicted 1
addiction 1
admission 1
admitted 1
adulterer 1
adultery 1
adultress 1
advice 1
after 7
age 1
alcoholic 1
alienated 1
all 2
allowing 1
also 1
always 1
ambition 1
american 1
an 3
and 36
andrew 2
any 2
approval 1
as 12
asking 1
assimilate 1
assimilation 2
at 6
athlete 1
attempts 1
attending 1
back 1
background 1
banking 1
be 2
become 1
becomes 3
becoming 1
been 1
being 1
belong 1
black 1
boarding 1
book 2
born 1
boston 1
both 1
brahmin 1
broadway 1
budapest 1
but 2
by 1
cambridge 1
campus 1
career 2
causes 1
child 1
choice 1
chooses 1
christ 1
christian 1
church 1
class 7
classics 1
classmates 2
club 1
clubs 1
college 1
comes 1
coming 1
commits 1
committing 1
composer 1
conclusion 1
conductor 1
confidence 1
conflict 1
confronted 1
conscience 1
consider 1
constant 1
conversion 1
cooperate 1
country 1
course 2
custodial 1
daniel 3
daughter 2
daughters 1
day 1
days 1
death 1
deeply 1
demands 1
denied 4
denying 1
despite 2
detachment 1
determination 1
dies 1
difficult 1
disowns 1
diverse 1
divorce 3
does 1
downfall 1
dramatic 1
drill 2
drug 1
due 4
during 5
dutch 1
dysfunction 1
eliot 3
emotions 1
ends 1
endures 1
english 1
enters 1
entrance 1
estranged 1
estrangement 1
eventually 4
executor 1
expectations 1
experience 1
experiences 1
exploring 1
externally 1
extremely 1
fact 1
fame 1
family 5
fates 1
father 4
feels 1
fiance 2
fierce 1
final 1
finds 1
five 1
fled 1
flee 1
fluent 1
following 2
follows 1
for 1
form 1
friend 1
friendly 1
from 7
frustrating 1
fulfill 1
george 1
gilbert 2
give 1
good 1
graduating 1
granted 1
greek 1
gruenwald 1
gustav 1
gyuri 1
had 1
harvard 7
has 3
hasty 1
have 1
he 19
hearings 1
hectic 1
helping 1
henry 1
high 1
highly 1
him 14
himself 3
his 43
history 1
home 1
hostages 1
house 1
however 1
human 1
hungarian 1
hungary 2
identity 2
illfated 1
immigrate 1
implementation 1
imposed 1
in 22
inadvertently 1
incident 1
instructor 2
interest 1
interpreted 1
intertwine 1
investment 1
invitation 1
invites 1
is 10
israel 2
israeli 1
it 2
jacob 1
jason 2
jew 1
jewish 2
join 1
jr 1
keller 1
kibbutznik 2
killed 1
kippur 1
kissinger 1
kolozsdi 1
korean 1
lack 1
laidback 1
lambros 1
landau 1
later 1
latin 1
leads 2
leave 1
leaving 1
lengthy 1
life 4
light 1
likens 1
limited 1
live 1
lives 1
loss 1
loyalty 1
maintain 1
makes 2
makings 1
marines 1
marriage 1
mccarthy 2
meaningful 1
meaningless 1
members 1
mentor 1
military 2
money 1
months 1
moratorium 1
more 1
motor 1
music 1
musical 2
must 1
n 2
navy 1
no 2
not 1
notes 1
obligation 1
of 31
offbase 1
older 1
on 5
one 3
or 1
orchestras 1
ordinary 1
organize 1
otherwise 1
over 1
overcomes 1
own 1
paranoid 1
paratroopers 1
parent 1
parents 1
participating 1
particularly 1
pdiatrician 1
perfect 1
persecutions 1
personal 1
pervasive 1
pharmacy 1
phenothiazine 1
pianist 2
place 1
places 1
points 1
policy 1
popular 1
position 1
possible 1
prejudice 1
president 1
pressure 1
privilege 1
professorship 1
protests 1
protg 1
proud 1
pudding 1
punches 1
punishes 1
pusey 1
quickly 1
racism 1
reconcile 1
recording 1
redeems 1
refuge 1
refugee 1
refusal 1
regrets 1
reich 1
relationship 1
remains 1
rescue 1
restaurant 1
result 2
reunion 2
revolution 1
rights 1
rossi 1
rush 1
rushes 1
sabbatical 1
same 1
scholarship 1
school 2
schooling 1
securing 1
segregated 1
sent 1
serial 2
serves 1
service 2
seven 1
several 1
severe 1
share 1
shown 1
sick 1
six 1
son 4
speech 1
sr 1
states 1
stimulants 1
street 1
student 2
subsequent 1
success 1
suffers 1
suicide 1
support 1
swabbie 1
sweetheart 1
takes 1
talented 1
taunting 1
that 4
the 43
their 2
them 1
theodore 1
there 1
they 1
thing 1
third 1
this 5
those 1
through 1
throughout 2
thus 1
to 38
toll 1
tragically 1
troubles 1
truly 1
turn 1
twentyfive 1
two 1
uganda 1
unable 1
unfortunately 1
unitarianism 1
united 1
unresolved 1
up 1
uprising 1
vietnam 1
visit 1
visitation 1
waiter 1
wall 1
war 4
was 2
way 2
when 5
where 1
wherewithal 1
which 3
while 3
white 1
who 2
whom 1
wife 5
wins 1
with 8
without 1
work 1
working 1
would 1
yale 1
years 2
yom 1
