1172899
/m/04dchy
/m/04dchy
Ben Elton
2004
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
14mdashhelen 1
a 11
about 1
account 1
act 1
adam 1
ago 2
all 2
also 1
although 1
and 7
are 2
as 1
assistant 1
at 3
back 2
be 1
been 2
before 1
being 1
bishop 1
building 1
bully 1
bullying 1
by 2
cannot 1
case 1
certain 1
christine 4
class 1
classmates 1
collides 1
comes 1
committed 2
copperfield 4
could 1
crime 1
cruelly 1
days 1
decades 1
detective 1
dies 1
down 2
each 1
ed 1
edward 1
emerges 1
exactly 1
final 1
find 1
forced 1
former 2
friends 1
girl 1
girls 1
golden 1
happened 1
has 3
have 2
he 5
helen 1
her 2
his 10
home 1
how 1
however 1
hunch 1
identity 1
in 6
inspector 1
instances 1
intellectual 1
investigation 1
involved 1
is 6
it 3
job 1
killed 2
killer 3
knowledge 1
leftist 1
life 2
links 1
logs 1
london 1
lonely 1
long 1
looks 1
love 1
man 2
many 1
middleaged 1
midthirties 1
might 1
more 2
murder 1
murdered 1
murderer 1
murders 1
natasha 2
new 2
newson 5
none 1
nostalgically 1
novel 1
now 2
number 1
obvious 1
of 10
older 1
on 2
one 1
ones 1
online 1
or 1
organisedmdashby 1
out 2
pages 1
pattern 1
peers 1
people 1
point 1
posts 1
private 2
psychopath 1
remains 1
resist 1
reunion 1
reunited 1
reunitedmdashas 1
romantically 1
same 2
school 3
secretly 1
selfmade 1
sergeant 1
serial 2
sexstarved 1
she 2
sitemdashfriends 1
smart 2
soon 2
source 1
story 1
stuff 1
stuffed 1
successful 1
supplied 1
surprise 1
talk 1
tampon 2
temptation 1
than 1
that 6
the 21
their 1
them 1
they 5
this 1
thought 1
throat 2
to 8
torture 1
trade 1
tradition 1
turns 1
two 1
unknown 1
unsolved 1
up 1
used 1
uses 1
victim 1
victims 1
was 3
way 1
web 1
went 1
were 1
when 6
where 1
which 1
while 1
who 1
whodunnit 1
whom 1
wilkie 1
with 6
would 1
years 1
