23847813
/m/06_wd6q
/m/06_wd6q
Bob Ong
2009
a 10
ability 2
able 1
about 1
after 3
all 1
along 1
an 2
and 11
as 1
asked 1
be 1
become 2
becomes 2
becoming 1
begins 1
best 1
blamed 1
blind 1
blood 6
bokbok 2
but 1
by 2
cares 1
carrying 1
caught 1
characters 1
child 1
church 3
commemoration 1
commit 1
continue 1
control 2
crime 1
cure 3
death 2
decided 1
decides 1
defeats 1
designer 1
desperate 1
did 1
dipping 1
discover 1
discovers 1
donating 1
donation 1
electrician 1
end 1
epidemic 1
event 1
everyone 1
fell 1
final 1
find 1
for 4
friend 2
from 1
fully 1
get 1
giant 1
given 2
got 1
ground 1
had 3
hand 1
has 1
he 7
her 2
hero 2
him 2
his 8
how 1
human 1
if 1
imprisoned 1
in 3
include 1
insults 1
intelligent 1
is 6
kapitan 2
learns 1
lives 1
looking 1
lose 1
man 3
manglicmot 1
may 1
mayor 1
medical 1
medics 1
mission 1
monster 2
mysterious 1
nickname 1
not 2
occasionally 1
of 5
off 1
other 1
out 2
outside 2
parents 1
peaceful 1
pelaez 2
people 2
progresses 1
quite 1
reason 1
recovered 1
rogelio 14
said 1
saves 1
secret 1
she 2
sino 2
slowly 1
so 1
some 1
son 1
soon 1
special 1
spreads 1
stabbed 1
stand 1
still 1
story 1
suit 1
talented 1
tents 1
tessa 2
that 1
the 17
their 1
then 1
they 3
things 1
though 1
to 8
town 1
unto 1
victim 1
virus 1
walk 1
was 3
where 1
which 1
who 2
with 1
wormlike 1
wound 1
