4642309
/m/0cf3k7
/m/0cf3k7
Lionel Davidson
1960
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
200 2
24yearold 1
a 13
after 1
alive 1
allowance 1
also 1
an 3
and 7
anticipation 1
antihero 1
archetypal 1
arrange 1
arrives 1
as 2
assignment 1
associate 1
at 1
back 2
been 1
begin 1
bela 3
belong 1
bigwigs 1
bossy 1
bought 1
bring 1
business 1
by 1
called 1
can 2
canada 1
car 1
carry 1
certain 1
childhood 1
city 1
cogitation 1
continually 1
cunliffe 6
current 1
czech 1
day 1
days 1
debt 1
declares 1
died 1
discharge 1
distraught 1
dreams 1
end 1
enjoy 1
escorted 1
estate 1
fact 1
factory 1
father 1
for 1
formulae 1
fortune 1
forwards 1
from 3
fruits 1
full 1
garage 1
girlfriend 1
glass 1
glassmaking 3
goes 1
happens 1
has 1
hates 1
have 1
he 12
him 6
himself 1
his 11
hock 1
hotel 1
however 2
if 1
impulse 1
in 11
income 1
industry 1
inheriting 1
irish 1
is 10
it 1
its 1
job 1
keeps 1
late 1
lawyer 1
left 1
londoner 1
love 1
maintenance 1
make 1
making 1
manages 1
matter 1
maura 1
meets 1
mg 1
moneylender 1
more 1
much 2
new 1
nicolas 5
nimek 1
note 1
novel 1
now 1
odious 1
of 8
office 1
on 2
one 2
out 1
over 1
owes 1
owner 1
partner 1
past 1
pavelka 1
permanent 1
plush 1
prague 2
presses 1
processes 1
put 1
ratface 1
riches 1
ricketts 1
security 1
see 1
servitude 1
simenova 1
simple 1
something 1
soon 1
spend 1
square 1
stable 1
stating 1
statuesque 1
stays 1
stephen 1
stream 1
such 1
sum 1
that 6
the 10
this 1
tide 1
time 1
to 14
told 1
travels 1
true 1
uncle 3
under 1
until 1
untold 1
up 1
used 1
vancouver 1
various 1
very 1
vlasta 1
wastrel 1
wenceslas 1
where 1
which 2
who 2
will 1
willing 1
with 2
witty 1
works 1
wrestler 1
