10295438
/m/02q7pct
/m/02q7pct
Harry Mazer
2001-04-03
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/0hwxm": "Historical novel"}
a 10
about 1
adam 8
after 1
airplanes 2
alive 1
america 1
american 2
and 9
any 1
are 7
arizona 1
arrives 1
as 4
at 3
back 2
bea 1
because 3
beginning 1
bomb 1
bomber 1
bombs 1
book 2
boys 1
but 4
cheers 1
chest 1
dad 1
davi 4
day 1
dead 1
decide 2
did 1
die 1
different 1
doesnt 2
down 1
dropped 1
early 1
emory 2
especially 1
explained 1
explodes 1
family 2
father 2
find 1
first 1
fishing 3
flies 1
flying 1
for 1
friends 1
gets 1
go 2
goes 1
happened 1
harbor 4
hard 2
has 1
hate 1
having 1
hawaiian 1
he 4
hear 1
high 2
his 4
home 2
honolulu 2
house 1
how 1
if 1
in 5
into 2
is 9
it 4
japanese 4
just 1
kahahawai 1
kid 1
kids 1
know 1
land 1
leave 1
let 1
like 1
lt 2
mainland 1
make 1
makes 1
manage 1
martin 2
martins 1
mentions 1
military 2
missing 1
mom 1
mori 1
morning 2
move 1
moves 1
moving 1
names 1
naval 1
never 1
of 3
officer 1
okay 1
on 1
once 1
one 1
or 1
out 1
overhead 1
part 1
pearl 3
pelko 2
people 1
piece 1
planes 3
realizes 1
really 2
relocated 1
rifle 1
rowboat 2
runs 1
saying 1
school 2
see 1
ship 1
ships 1
signaling 1
sister 1
so 1
spy 1
sure 1
take 1
telegram 1
tells 1
that 3
the 20
their 2
them 1
then 2
these 1
they 7
thinks 2
to 9
two 1
watches 1
water 1
week 1
what 1
when 1
while 1
why 1
with 1
wood 1
wounded 1
