424293
/m/026v43
/m/026v43
Charles Dickens
1837
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10 1
18278 1
a 7
accurate 1
action 1
advent 1
adventures 2
against 1
alfred 1
also 1
an 2
anachronisms 1
and 18
another 1
apparent 1
appeal 1
appear 1
as 4
astute 1
at 2
attempted 1
attempts 1
augustus 1
aura 1
bardell 2
because 1
been 1
between 2
biting 1
books 1
borough 1
breach 1
briefly 1
brought 1
by 5
cast 1
chapter 2
character 2
characters 1
chief 1
clock 1
club 2
coach 1
coaching 1
cockney 2
comic 2
comically 1
companion 1
compensation 1
countryside 1
critics 1
curious 1
defend 1
dell 1
descriptions 1
devious 1
dickens 3
dingley 1
distinctive 1
dodson 1
doesnt 1
don 1
dr 1
drawn 1
each 1
elopement 1
england 1
english 1
esquire 1
establishment 1
exaggerated 1
extend 1
feature 1
findings 1
firm 1
first 1
fleet 1
fogg 1
for 3
foreshadows 1
formed 1
founder 1
from 1
further 1
general 1
generally 1
gentleman 1
give 1
given 1
hart 1
has 1
have 1
he 3
her 3
here 1
him 1
his 7
humorous 1
humour 1
humphrey 1
idealistic 1
in 8
incarceration 1
include 2
including 1
inn 1
inns 1
into 1
is 11
its 2
jingle 2
joins 1
journeys 1
kind 1
land 1
landlady 1
later 1
lawsuit 1
lawyers 1
legal 1
life 1
likened 1
literary 1
london 1
looselyrelated 1
main 2
major 1
make 1
makes 1
manor 1
many 1
marry 1
master 1
members 1
memorable 1
messrs 1
misadventures 1
misunderstanding 1
mr 7
mrs 2
narrative 1
nathaniel 1
nearlysuccessful 1
notable 1
noted 1
novel 3
novels 1
numerous 1
oblique 1
occurring 1
of 13
often 1
old 2
on 5
ongoing 1
other 4
others 1
own 1
panza 1
papers 2
part 1
pay 1
penny 1
perpetual 1
personal 1
personalities 1
phenomena 1
pickwick 9
pickwickians 2
places 1
president 1
prison 1
proceedings 1
promise 1
provide 1
provided 1
provides 2
publication 1
quaint 1
quixote 1
rachael 1
refusal 1
relationship 1
remote 1
repeatedly 1
replaced 1
report 1
researches 1
sam 2
samuel 1
sancho 1
satire 1
seeming 1
seen 1
senior 1
sequence 1
serial 2
servant 1
should 1
slammer 1
snodgrass 1
social 1
some 1
spinster 1
stubborn 1
suggests 1
suing 1
taken 1
that 2
the 31
their 2
theme 1
themes 1
these 1
though 1
three 1
through 1
throughout 1
to 10
tone 1
tracy 1
travels 2
tricks 1
trouble 1
tupman 1
two 1
unscrupulous 1
unworldly 1
valuable 1
value 1
villainy 1
want 1
wardle 1
wealthy 1
weller 5
when 1
white 1
who 2
winkle 1
with 3
work 1
working 1
written 1
