487486
/m/02gdvx
/m/02gdvx
Gaston Leroux

{"/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
6 1
a 9
about 1
absolutely 1
acting 1
actually 2
after 2
all 3
alone 1
analysis 1
and 4
apparently 1
appears 1
are 2
around 2
as 3
assailant 2
at 2
attack 3
attacked 1
attacker 1
audible 1
be 1
because 1
being 1
believing 1
but 1
by 4
called 1
cases 1
certain 1
chateau 1
chooses 1
classic 1
complicated 1
crawl 1
crawling 1
crime 2
cry 1
dazzling 1
deduces 1
different 1
disappearance 1
discerning 1
disdains 1
display 1
does 1
dupin 1
each 1
earlier 2
eighteen 1
electrify 1
escape 1
events 1
explanation 1
eye 1
fact 1
fewer 1
first 1
for 2
forensics 1
found 1
fours 1
france 1
from 1
furniture 1
genuine 1
gunshot 1
happened 1
he 3
head 1
help 1
her 2
herself 1
hours 1
how 1
immediately 1
impossible 1
in 8
inexorable 1
inflicted 1
ingenious 1
injured 1
injuries 1
insoluble 1
into 1
investigation 1
is 5
it 3
joseph 1
journalistdetective 1
key 1
locked 4
logic 1
many 1
matter 1
means 1
mere 1
merely 1
midnight 1
miss 3
moments 1
most 1
much 1
mundane 1
murder 1
murderer 1
never 1
nightmare 1
no 3
not 3
occurred 1
occurs 1
of 8
old 1
on 1
one 2
only 1
or 1
out 2
over 1
overturned 1
pmbut 1
poe 1
possible 1
puzzles 1
quite 1
rather 1
rational 1
relived 1
room 5
rouletabille 4
scene 1
seemed 1
sequence 1
severe 1
severely 1
she 1
so 2
soon 1
stangerson 3
still 1
striking 1
stumbling 1
supposed 1
than 3
that 4
the 21
there 1
this 1
those 1
three 1
thrust 1
to 3
tradition 1
true 1
turns 1
unraveling 1
vanishings 1
very 1
violently 2
was 3
were 2
when 3
which 2
with 3
would 1
wouldbe 1
years 1
