1273337
/m/04p4j3
/m/04p4j3
Salman Rushdie
1990-09-27
a 45
able 1
about 2
accelerate 1
across 1
act 1
action 1
addition 1
after 1
against 2
agrees 1
alifbay 1
all 5
ambassador 2
ambushed 1
an 8
ancient 2
and 67
anger 1
announce 1
another 1
anymore 1
appears 2
appendix 1
are 9
army 9
arrives 2
as 8
asks 2
assails 1
at 2
attempt 1
attempts 1
autocratic 1
awakes 1
away 2
axis 1
back 4
bad 1
balloons 1
batcheat 2
bathed 1
battle 2
be 4
beach 1
beautiful 1
because 5
become 1
becomes 1
bedroom 1
been 2
before 1
begin 2
begins 4
being 5
between 2
bezaban 1
bird 2
birthday 1
blabbermouth 5
black 1
blown 1
board 1
boat 1
bolo 3
bomb 1
both 1
bottom 1
bound 1
bravery 2
breaking 1
breaks 1
bring 2
brought 1
building 1
bus 1
but 4
butt 9
buttoo 1
by 4
bypass 1
calms 1
can 3
cannot 1
captured 2
cauldrons 1
causes 1
character 1
chattering 1
chup 5
chupwala 2
chupwalas 3
city 5
claim 1
climb 1
climbs 1
coma 1
come 3
comes 1
command 1
commences 1
communicate 1
communication 1
completely 1
complicated 1
concedes 1
concentrate 1
concentration 1
concept 1
concludes 1
confiscates 1
constructed 1
contains 1
country 1
creatures 1
crew 1
critical 1
croaks 1
crowd 1
crushes 2
cultmaster 3
cup 1
dance 1
dancing 1
dangerous 1
dangerously 1
dark 1
darkness 2
day 3
deal 1
decides 1
deck 1
declare 1
declared 1
defeat 1
demands 1
depart 1
destination 1
destroyed 1
detached 1
did 1
die 1
difficult 1
difficulty 1
disappears 1
distracts 1
distributes 1
distrust 1
dives 1
do 2
doubts 1
down 1
dozes 1
drinks 3
drive 1
driven 1
drives 1
drops 1
dull 1
each 2
earth 2
earthquake 1
eleven 1
encampment 1
ending 2
ends 1
engulfed 1
enter 1
entire 2
evenly 1
everyone 5
everything 1
explain 1
explaining 1
explore 1
fade 1
falls 3
famous 1
fast 1
father 12
few 1
fight 1
fighting 2
find 2
finds 4
fire 1
fish 1
fishes 2
fly 1
focus 1
for 11
forgets 1
foul 1
free 2
friends 1
from 7
full 1
g 2
gardner 1
general 2
generators 1
genie 3
gesture 1
get 2
getting 1
giant 1
girl 3
give 3
given 2
gives 1
go 1
good 1
great 2
ground 1
growing 1
guide 1
gup 3
guppee 3
guppees 2
hacks 1
had 3
hair 1
hallucinates 1
handful 1
happy 2
haroun 49
has 4
hat 1
have 6
he 33
head 3
hears 1
help 1
her 4
hero 1
him 11
himself 1
his 37
home 3
honest 1
hood 2
hoopoe 7
hopefully 1
house 1
however 2
huge 1
